id,Unique ID,FD sample ID,FD Run ID,Strain,Cryo mix,FD_recipe,Ferm Condition,FC,Aged,Aged_Temp,Aged_Weeks,DR_latest,Est_latest,ExtenderCFU_ml,ExtenderCFU_ml_SD,Application_loss_CFU,W0,W1,W2,W3,W4,W5,W6,W7,W8,SD0,SD1,SD2,SD3,SD4,SD5,SD6,SD7,SD8,Plated_W0,Plated_W1,Plated_W2,Plated_W3,Plated_W4,Plated_W5,Plated_W6,Plated_W7,Plated_W8,log_W0,log_W1,log_W2,log_W3,log_W4,log_W5,log_W6,log_W7,log_W8,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,,#VALUE!,,,,,,,,#VALUE!,#VALUE!,,,,,,
63,E,23PT0119-1,FDL-105G-T32,Kosakonia sacchari,SKP,,"repeat of P080-22-Y005, tryptone + potato peptone",T + P ,no,,,-0.026,10.606,3.00E+09,5.77E+08,1.88,3.47E+04,6.80E+03,5.19E+03,5.35E+03,4.63E+03,,,,,,,,,,,,,,1/31/23,2/7/23,2/14/23,2/21/23,2/27/23,,,,,4.540329475,3.832508913,3.715167358,3.832508913,3.665580991,,,,,,0,7,14,21,27,,,,,,,4.540329475,4.441916307,4.316249151,4.274887239,4.274887239,4.274887239,4.274887239,4.274887239,,,-0.101117223,-0.058940151,-0.032011475,-0.025917979,,,,,,,5.343594869,7.497712474,9.879243363,10.60604454,,,,
64,E,23PT0119-4,FDL-105G-T33,Kosakonia sacchari,SKP,,tryptone only,T only,no,,,-0.017,26.778,5.28E+09,1.26E+09,2.02,4.47E+04,1.77E+04,7.69E+03,7.39E+03,1.19E+04,,,,,,,,,,,,,,1/31/23,2/7/23,2/14/23,2/21/23,2/27/23,,,,,4.650307523,4.247973266,3.88592634,4.247973266,4.075546961,,,,,,0,7,14,21,27,,,,,,,4.650307523,4.643592968,4.493402553,4.457130953,4.457130953,4.457130953,4.457130953,4.457130953,,,-0.057476322,-0.054598656,-0.022414996,-0.017071412,,,,,,,11.31435513,11.78770717,22.01216367,26.77757179,,,,
15,F,22PT1117-8,FDL-105B-T10-21CW4,Klebsiella variicola,PVT70%,," Potato peptone and tryptone, low viscosity",T + P,yes,21,4,-0.035,77.077,1.11E+09,2.41E+08,0.29,5.04E+05,2.48E+05,1.41E+05,4.83E+04,6.80E+04,,,,3.75E+04,1.41E+05,,,,,,,,,2/8/23,2/15/23,2/22/23,3/3/23,3/8/23,,,,4/6/23,5.702430536,5.394451681,5.149219113,4.683947131,4.832508913,,,,4.573645057,,0,7,14,23,28,,,,57,,,5.702430536,5.691972822,5.712321484,5.652299869,5.652299869,5.652299869,5.652299869,5.464563566,,,-0.043996979,-0.039515102,-0.043619034,-0.034707527,,,,,,,38.69425948,42.81838459,39.25629126,47.60638379,,,,77.07666504
17,F,22PT1117-9,FDL-105B-T11-21CW4,Klebsiella variicola,DSR,," Potato peptone and tryptone, low viscosity",T + P,yes,21,4,-0.028,54.326,1.39E+09,2.05E+08,0.83,1.83E+05,8.36E+04,6.35E+04,2.99E+04,3.11E+04,,,,1.09E+04,3.06E+04,,,,,,,,,2/8/23,2/15/23,2/22/23,3/3/23,3/8/23,,,,4/6/23,5.26245109,4.922206277,4.802773725,4.475671188,4.492760389,,,,4.038752589,,0,7,14,23,28,,,,57,,,5.26245109,5.225649046,5.22458084,5.192682167,5.192682167,5.192682167,5.192682167,5.101830932,,,-0.048606402,-0.032834097,-0.032618661,-0.027882613,,,,,,,25.97293863,37.32854384,37.54233946,42.77512114,,,,54.32571543
21,F,22PT1102-8,FDL-105C-T14-21CW4,Klebsiella variicola,PVT70%,,"Glucose, no EPS","Glucose, no EPS",yes,21,4,-0.048,52.054,4.67E+09,2.31E+08,0.46,1.44E+06,8.33E+05,3.60E+05,1.11E+05,7.56E+04,,,,7.73E+03,2.00E+05,,,,,,,,,2/8/23,2/15/23,2/22/23,3/3/23,3/8/23,,,,4/6/23,6.158362492,5.920645001,5.556302501,5.045322979,4.878521796,,,,3.88836673,,0,7,14,23,28,,,,57,,,6.158362492,6.17946666,6.209225919,6.201937964,6.201937964,6.201937964,6.201937964,6.114691953,,,-0.033959642,-0.043004285,-0.049006152,-0.047924098,,,,,,,63.55669245,50.68022072,45.08058304,45.94636222,,,,52.05390392
33,F,22PT1216-1,FDL-105D-T19-21CW4,Klebsiella variicola,SKP,,"Glucose, high EPS, CR broth","Glucose, high EPS, CR broth",yes,21,4,-0.023,84.629,7.47E+08,8.33E+07,-0.02,6.99E+05,4.95E+05,2.44E+05,1.73E+05,1.76E+05,,,,4.07E+04,1.24E+05,,,,,,,,,2/8/23,2/15/23,2/22/23,3/3/23,3/8/23,,,,4/6/23,5.844477176,5.694605199,5.387389826,5.238046103,5.245512668,,,,4.609238576,,0,7,14,23,28,,,,57,,,5.844477176,5.870701075,5.846434463,5.815464468,5.815464468,5.815464468,5.815464468,5.791735792,,,-0.021410282,-0.032649096,-0.02775499,-0.023156825,,,,,,,86.14912878,57.29717763,66.52621683,78.39867953,,,,84.62893759
35,F,22PT1102-7,FDL-105D-T20-21CW4,Klebsiella variicola,SKP,,"Glucose, no EPS","Glucose, no EPS",yes,21,4,-0.032,77.761,2.60E+09,8.00E+07,0.35,1.02E+06,3.88E+05,2.68E+05,1.06E+05,1.47E+05,,,,3.85E+04,2.73E+05,,,,,,,,,2/8/23,2/15/23,2/22/23,3/3/23,3/8/23,,,,4/6/23,6.008600172,5.588831726,5.428134794,5.025305865,5.167317335,,,,4.585836579,,0,7,14,23,28,,,,57,,,6.008600172,5.965421586,5.962650533,5.901147555,5.901147555,5.901147555,5.901147555,5.797716554,,,-0.059966921,-0.041461813,-0.040902945,-0.031771498,,,,,,,33.49513602,47.40317555,47.98311068,59.83814585,,,,77.76130719
25,G,22PT1117-5,FDL-105C-T15-21CW8,Kosakonia sacchari,PVT70%,,"Potato peptone only, less EPS, pH control",P only,yes,21,8,-0.027,19.887,1.89E+09,2.69E+08,1.58,4.43E+04,1.54E+04,1.04E+04,6.76E+03,6.68E+03,,,,1.65E+03,,,,,,,,,6.66E+02,2/22/23,3/3/23,3/8/23,3/17/23,3/24/23,,,,4/18/23,4.646403726,4.187520721,4.017033339,3.829946696,3.824776462,,,,3.218360422,,0,9,14,23,30,,,,55,,,4.646403726,4.633820471,4.577727761,4.513096183,4.513096183,4.513096183,4.513096183,4.469917675,,,-0.050987001,-0.045674071,-0.035434925,-0.027102631,,,,,,,12.67781432,13.87703046,16.30390799,18.93160039,,,,19.88690608
31,G,22PT1216-2,FDL-105C-T18-4CW8,Klebsiella variicola,PVT70%,,"Glucose, high EPS, CR broth","Glucose, high EPS, CR broth",yes,4,8,-0.031,80.450,6.62E+09,6.01E+08,0.79,9.60E+05,2.32E+05,1.37E+05,1.24E+05,9.15E+04,,,,4.68E+04,,,,,,,,,9.46E+03,2/22/23,3/3/23,3/8/23,3/17/23,3/24/23,,,,4/18/23,5.982271233,5.365487985,5.136720567,5.093421685,4.961421094,,,,4.670245853,,0,9,14,23,30,,,,55,,,5.982271233,5.965300877,5.842588783,5.782599357,5.782599357,5.782599357,5.782599357,5.649160492,,,-0.068531472,-0.061366211,-0.038966384,-0.031232556,,,,,,,28.92497673,32.02578184,47.28662497,57.07504001,,,,80.45001275
38,G,22PT1117-4,FDL-105D-T21-21CW8,Kosakonia sacchari,SKP,,"Potato peptone only, less EPS, pH control",P only,yes,21,8,-0.031,-5.284,3.93E+08,1.15E+07,1.28,1.83E+04,4.63E+03,2.19E+03,2.43E+03,1.83E+03,,,,1.08E+03,,,,,,,,,3.12E+02,2/22/23,3/3/23,3/8/23,3/17/23,3/24/23,,,,4/18/23,4.26245109,3.665580991,3.340444115,3.385606274,3.26245109,,,,3.033423755,,0,9,14,23,30,,,,55,,,4.26245109,4.261488861,4.115904777,4.047817017,4.047817017,4.047817017,4.047817017,3.90094173,,,-0.0663189,-0.065912626,-0.039337753,-0.030559888,,,,,,,3.957410185,3.967204446,2.946400539,1.564698672,,,,-5.284305924
43,G,23PT0119-5,FDL-105EF-T24-21CW4,Kosakonia sacchari,PVT70%,,tryptone only,T only,yes,21,4,-0.032,37.124,2.76E+10,4.44E+09,2.35,1.08E+05,5.37E+04,1.28E+04,1.12E+04,1.43E+04,,,,6.27E+03,,,,,,,,,1.40E+03,2/22/23,3/3/23,3/8/23,3/17/23,3/24/23,,,,4/18/23,5.033423755,4.729974286,4.10720997,4.049218023,4.155336037,,,,3.797036595,,0,9,14,23,30,,,,55,,,5.033423755,5.101099774,5.014489657,4.902924257,4.902924257,4.902924257,4.902924257,4.757567566,,,-0.033716608,-0.062290927,-0.046481143,-0.032098148,,,,,,,30.65028852,17.67672814,21.82583266,28.13010487,,,,37.12445806
45,G,23PT0119-5,FDL-105EF-T24-4CW4,Kosakonia sacchari,PVT70%,,tryptone only,T only,yes,4,4,-0.033,73.625,2.76E+10,4.44E+09,1.81,3.75E+05,1.54E+05,7.36E+04,5.55E+04,3.77E+04,,,,3.44E+04,,,,,,,,,6.35E+03,2/22/23,3/3/23,3/8/23,3/17/23,3/24/23,,,,4/18/23,5.574031268,5.187520721,4.866877814,4.744292983,4.57634135,,,,4.536558443,,0,9,14,23,30,,,,55,,,5.574031268,5.589813278,5.522608031,5.486346709,5.486346709,5.486346709,5.486346709,5.299693518,,,-0.042945616,-0.049609132,-0.037341507,-0.032666703,,,,,,,36.65173311,32.04678696,40.77521607,45.50035922,,,,73.62465482
65,G,23PT0119-4,FDL-105G-T33-21CW4,Kosakonia sacchari,SKP,,tryptone only,T only,yes,21,4,-0.039,7.025,2.40E+09,4.62E+08,1.87,2.89E+04,6.43E+03,2.19E+03,9.60E+02,1.00E+03,,,,3.20E+02,,,,,,,,,1.44E+02,2/22/23,3/3/23,3/8/23,3/17/23,3/24/23,,,,4/18/23,4.460897843,3.808210973,3.340444115,3.808210973,3,,,,,,0,9,14,23,30,,,,55,,,4.460897843,4.476567832,4.214607531,4.271933041,4.271933041,4.271933041,4.271933041,4.271933041,,,-0.072520763,-0.079136981,-0.031318831,-0.038709228,,,,,,,6.3553915,6.02206232,6.852348088,7.025018516,,,,7.025018516
1,H,ABKLUB021923AA-1,ABKLUB021923AA-1,Klebsiella variicola,PVT70%,,"Glucose, high EPS, CR broth","Glucose, high EPS, CR broth",no,,,-0.049,37.687,1.29E+10,1.40E+09,1.27,6.12E+05,2.71E+05,1.79E+05,1.09E+05,3.20E+04,,,,,,,,,,,,,,2/27/23,3/8/23,3/15/23,3/24/23,3/27/23,,,,,5.786751422,5.432969291,5.252853031,4.505149978,,#REF!,,,#REF!,,0,9,16,25,28,,,,,,,5.786751422,5.771238469,5.862028295,5.862028295,#REF!,#REF!,#REF!,#REF!,,,-0.039309126,-0.033645666,-0.049407789,-0.049407789,,,,,,,45.45385812,52.64388119,37.68693815,37.68693815,,,,
2,H,ABKLUB021923AA-2,ABKLUB021923AA-2,Klebsiella variicola,PVT70%,,"Glucose, high EPS, CR broth","Glucose, high EPS, CR broth",no,,,-0.036,46.613,1.09E+10,1.29E+09,1.36,4.25E+05,2.15E+05,1.81E+05,9.35E+04,4.80E+04,,,,,,,,,,,,,,2/27/23,3/8/23,3/15/23,3/24/23,3/27/23,,,,,5.62838893,5.33243846,5.257678575,4.681241237,,#REF!,,,#REF!,,0,9,16,25,25,,,,,,,5.62838893,5.603021831,5.673787162,5.673787162,#REF!,#REF!,#REF!,#REF!,,,-0.032883386,-0.023622381,-0.035908029,-0.035908029,,,,,,,49.52011181,67.86029839,46.61317291,46.61317291,,,,
22,H,22PT1102-8,FDL-105C-T14-Try,Klebsiella variicola,PVT70%,,"Glucose, no EPS","Glucose, no EPS",no,,,-0.040,54.430,1.59E+10,3.33E+09,0.99,1.45E+06,7.17E+05,3.61E+05,1.84E+05,1.20E+05,,,,,,,,,,,,,,2/27/23,3/8/23,3/15/23,3/24/23,3/27/23,,,,,6.161368002,5.855519156,5.557507202,5.264817823,5.079181246,,,,,,0,9,16,25,25,,,,,,,6.161368002,6.171181887,6.164176899,6.186150669,6.186150669,6.186150669,6.186150669,6.186150669,,,-0.033983205,-0.037566052,-0.036349908,-0.040164799,,,,,,,63.60106385,57.79638177,59.53734145,54.42951865,,,,
27,H,22PT1117-5,FDL-105C-T15-Try,Kosakonia sacchari,PVT70%,,"Potato peptone only, less EPS, pH control",P only,no,,,-0.029,33.697,2.36E+09,5.23E+08,1.19,1.35E+05,3.36E+04,2.87E+04,2.09E+04,1.59E+04,,,,,,,,,,,,,,2/27/23,3/8/23,3/15/23,3/24/23,3/27/23,,,,,5.130333768,4.526339277,4.457881897,4.320146286,4.201397124,,,,,,0,9,16,25,28,,,,,,,5.130333768,5.064833988,4.993205884,4.981694772,4.981694772,4.981694772,4.981694772,4.981694772,,,-0.067110499,-0.043197881,-0.030762446,-0.029133019,,,,,,,16.84287533,24.65014408,32.28631035,33.69698008,,,,
36,H,22PT1102-7,FDL-105D-T20-Try,Klebsiella variicola,SKP,,"Glucose, no EPS","Glucose, no EPS",no,,,-0.040,48.716,6.27E+09,8.04E+08,0.68,1.16E+06,2.96E+05,2.29E+05,6.59E+04,9.73E+04,,,,,,,,,,,,,,2/27/23,3/8/23,3/15/23,3/24/23,3/27/23,,,,,6.064457989,5.471291711,5.359835482,4.818885415,4.98811284,,,,,,0,9,16,25,28,,,,,,,6.064457989,6.007350722,6.020596655,5.972004617,5.972004617,5.972004617,5.972004617,5.972004617,,,-0.065907364,-0.045058679,-0.04735832,-0.040479995,,,,,,,31.32363148,44.54970169,42.66613842,48.7155345,,,,
66,H,23PT0119-4,FDL-105G-T33-Try,Kosakonia sacchari,SKP,,tryptone only,T only,no,,,-0.025,1.604,7.29E+08,1.02E+08,1.59,1.68E+04,4.00E+03,3.17E+03,1.97E+03,2.12E+03,,,,,,,,,,,,,,2/27/23,3/8/23,3/15/23,3/24/23,3/27/23,,,,,4.225309282,3.602059991,3.501059262,3.602059991,3.326335861,,,,,,0,9,16,25,28,,,,,,,4.225309282,4.162676719,4.034703685,4.039951929,4.039951929,4.039951929,4.039951929,4.039951929,,,-0.069249921,-0.046384065,-0.024166524,-0.024909426,,,,,,,3.253567339,3.507168234,1.436023018,1.603887957,,,,
3,I,EDKLUB02202302,EDKLUB02202302,Klebsiella variicola,PVT70%,,"Glucose, high EPS, CR broth","Glucose, high EPS, CR broth",no,,,-0.030,63.133,1.53E+10,6.05E+08,0.97,1.45E+06,2.60E+05,2.16E+05,2.17E+05,1.31E+05,,,,,,,,,,,,,,3/8/23,3/15/23,3/24/23,3/29/23,4/6/23,,,,,6.161368002,5.414973348,5.334453751,5.336459734,5.116164812,,,,#REF!,,0,7,16,21,29,,,,,,,6.161368002,6.017882944,5.95638939,5.915709877,5.915709877,5.915709877,5.915709877,#REF!,,,-0.106627808,-0.049689293,-0.035870516,-0.030344243,,,,,,,20.27020951,40.61001548,54.54031838,63.13256452,,,,
4,I,EDKOKO02222302,EDKOKO02222302,Kosakonia sacchari,PVT70%,,"Glucose, no EPS","Glucose, no EPS",no,,,-0.030,40.632,2.47E+10,1.92E+08,1.95,2.45E+05,6.25E+04,4.31E+04,3.87E+04,2.73E+04,,,,,,,,,,,,,,3/8/23,3/15/23,3/24/23,3/29/23,4/6/23,,,,,5.389166084,4.795880017,4.63447727,4.587710965,4.436692598,,,,#REF!,,0,7,16,21,29,,,,,,,5.389166084,5.291011166,5.247088588,5.199964991,5.199964991,5.199964991,5.199964991,#REF!,,,-0.084755152,-0.045804788,-0.035934546,-0.02953285,,,,,,,16.39034377,28.18507014,34.70444834,40.6315343,,,,
67,I,23PT0126-2,FDL-105K-T42,Kosakonia sacchari,PVT70%,,"Tryptone + potato peptone, lower top feed rate, no EPS",T + P,no,,,-0.025,54.324,1.43E+10,1.53E+09,1.57,3.41E+05,8.67E+04,7.57E+04,5.57E+04,4.44E+04,,,,,,,,,,,,,,3/8/23,3/15/23,3/24/23,3/29/23,4/6/23,,,,,5.532754379,4.938019097,4.87909588,4.938019097,4.64738297,,,,,,0,7,16,21,29,,,,,,,5.532754379,5.417569418,5.359009312,5.349835372,5.349835372,5.349835372,5.349835372,5.349835372,,,-0.084962183,-0.039253865,-0.026094291,-0.02484802,,,,,,,18.04043074,36.11286212,52.08071463,54.32365999,,,,
68,I,23PT0126-5,FDL-105K-T44,Kosakonia sacchari,PVT70%,,"Tryptone + potato peptone, lower top feed rate, 0.7% XG","T+P, XG",no,,,-0.026,45.985,8.47E+09,3.01E+08,1.41,2.91E+05,5.96E+04,4.00E+04,3.39E+04,3.41E+04,,,,,,,,,,,,,,3/8/23,3/15/23,3/24/23,3/29/23,4/6/23,,,,,5.463892989,4.77524626,4.602059991,4.77524626,4.533178702,,,,,,0,7,16,21,29,,,,,,,5.463892989,5.347650372,5.258506409,5.216003404,5.216003404,5.216003404,5.216003404,5.216003404,,,-0.098378104,-0.052250082,-0.03221773,-0.026443737,,,,,,,14.88027241,25.79231136,39.06254084,45.98455175,,,,
24,J,22PT1117-5,FDL-105C-T15-21CW12,Kosakonia sacchari,PVT70%,,"Potato peptone only, less EPS, pH control",P only,yes,21,12,-0.031,14.324,2.14E+09,7.69E+07,1.78,3.15E+04,1.61E+04,7.00E+03,7.20E+03,3.55E+03,,,,,,,,,5.60E+02,,,,,3/15/23,3/24/23,3/28/23,4/6/23,4/13/23,,,,,4.498310554,4.206825876,3.84509804,3.857332496,3.549820373,,,,,,0,9,13,22,29,,,,,,,4.498310554,4.529733288,4.443957171,4.44232392,4.44232392,4.44232392,4.44232392,4.44232392,,,-0.032387186,-0.0472257,-0.031096857,-0.030879894,,,,,,,15.38604025,11.21705535,14.2765929,14.32401032,,,,
26,J,22PT1117-5,FDL-105C-T15-SKP,Kosakonia sacchari,PVT70%,,"Potato peptone only, less EPS, pH control",P only,no,,,-0.041,3.286,2.12E+09,8.33E+07,2.06,1.63E+04,5.65E+03,3.13E+03,1.64E+03,1.08E+03,,,,,,,,,2.40E+02,,,,,3/15/23,3/24/23,3/28/23,4/6/23,4/13/23,,,,,4.212187604,3.752048448,3.495544338,3.214843848,3.033423755,,,,,,0,9,13,22,29,,,,,,,4.212187604,4.219224903,4.173942799,4.13315431,4.13315431,4.13315431,4.13315431,4.13315431,,,-0.051126573,-0.054449742,-0.045935158,-0.040516761,,,,,,,4.150241101,4.026188112,3.786702957,3.286400648,,,,
40,J,23PT0119-2,FDL-105EF-T22-Try,Kosakonia sacchari,PVT70%,,"repeat of P080-22-Y005, tryptone + potato peptone",T + P ,no,,,-0.027,61.828,3.87E+10,7.70E+08,1.87,4.59E+05,2.88E+05,2.15E+05,1.29E+05,7.36E+04,,,,,,,,,2.25E+04,,,,,3/15/23,3/24/23,3/28/23,4/6/23,4/13/23,,,,,5.661812686,5.459392488,5.33243846,5.110365211,4.866877814,,,,,,0,9,13,22,29,,,,,,,5.661812686,5.666818783,5.669074743,5.683784235,5.683784235,5.683784235,5.683784235,5.683784235,,,-0.022491133,-0.024855123,-0.025279321,-0.02723335,,,,,,,73.88745952,67.06137627,66.02529932,61.82802567,,,,
44,J,23PT0119-5,FDL-105EF-T24-21CW8,Kosakonia sacchari,PVT70%,,tryptone only,T only,yes,21,8,-0.033,22.670,2.97E+09,6.01E+07,1.65,5.84E+04,2.89E+04,1.76E+04,1.13E+04,6.28E+03,,,,,,,,,1.47E+03,,,,,3/15/23,3/24/23,3/28/23,4/6/23,4/13/23,,,,,4.766412847,4.460897843,4.245512668,4.051795446,3.797959644,,,,,,0,9,13,22,29,,,,,,,4.766412847,4.777185878,4.745983419,4.743046189,4.743046189,4.743046189,4.743046189,4.743046189,,,-0.033946112,-0.039033376,-0.033166247,-0.032776062,,,,,,,22.57733835,19.91080336,22.49224692,22.67039272,,,,
48,J,23PT0119-5,FDL-105EF-T24-SKP,Kosakonia sacchari,PVT70%,,tryptone only,T only,no,,,-0.032,52.647,2.79E+10,8.28E+08,1.74,4.45E+05,3.29E+05,1.48E+05,1.07E+05,5.37E+04,,,,,,,,,2.81E+03,,,,,3/15/23,3/24/23,3/28/23,4/6/23,4/13/23,,,,,5.648360011,5.517195898,5.170261715,5.028028724,4.730243783,,,,,,0,9,13,22,29,,,,,,,5.648360011,5.687423939,5.671732138,5.686518329,5.686518329,5.686518329,5.686518329,5.686518329,,,-0.01457379,-0.033020645,-0.03007005,-0.032034267,,,,,,,113.1044137,51.10208885,55.59459104,52.64732023,,,,
46,K,23PT0119-5,FDL-105EF-T24-CC1,Kosakonia sacchari,PVT70%,,tryptone only,T only,yes,21,2,-0.020,74.022,5.37E+09,9.17E+08,1.17,3.20E+05,2.36E+05,1.29E+05,1.25E+05,7.31E+04,2.00E+04,,,,,,,3.63E+04,,,,,,3/22/23,3/29/23,4/5/23,4/13/23,,,,,,5.505149978,5.372912003,5.111710471,5.09806659,4.863719295,4.300537237,,,,,0,7,14,22,,,,,,,,5.505149978,5.526643904,5.488066965,5.488066965,5.488066965,5.488066965,5.488066965,5.488066965,,,-0.018891139,-0.028102822,-0.020102996,-0.020102996,-0.020102996,,,,,,79.67491804,54.3235091,74.02215,74.02215,74.02215,,,
47,K,23PT0119-5,FDL-105EF-T24-CC2,Kosakonia sacchari,PVT70%,,tryptone only,T only,yes,21,2,-0.038,37.349,4.31E+09,1.66E+09,1.11,2.97E+05,1.40E+05,6.31E+04,4.48E+04,3.52E+04,5.64E+03,,,,,,,1.28E+04,,,,,,3/22/23,3/29/23,4/5/23,4/13/23,,,,,,5.472756449,5.146128036,4.799799877,4.651278014,4.546542663,3.75148653,,,,,0,7,14,22,,,,,,,,5.472756449,5.47603974,5.428706191,5.428706191,5.428706191,5.428706191,5.428706191,5.428706191,,,-0.046661202,-0.048068327,-0.038252614,-0.038252614,-0.038252614,,,,,,31.56276281,#REF!,#N/A,37.3492437,37.3492437,,,
49,K,23PT0119-5,FDL-105EF-T24-TMC1,Kosakonia sacchari,PVT70%,,tryptone only,T only,yes,21,2,-0.026,64.894,5.82E+09,1.29E+09,1.03,4.83E+05,3.12E+05,2.21E+05,1.27E+05,1.08E+05,6.93E+03,,,,,,,2.20E+04,,,,,,3/22/23,3/29/23,4/5/23,4/13/23,,,,,,5.683947131,5.494154594,5.345046825,5.102662342,5.033423755,3.840620619,,,,,0,7,14,22,,,,,,,,5.683947131,5.677166336,5.685697135,5.685697135,5.685697135,5.685697135,5.685697135,5.685697135,,,-0.02711322,-0.024207165,-0.025976224,-0.025976224,-0.025976224,,,,,,62.10797389,#REF!,#N/A,64.89384714,64.89384714,,,
51,K,23PT0119-5,FDL-105EF-T24-TMC2,Kosakonia sacchari,PVT70%,,tryptone only,T only,yes,21,2,-0.024,70.117,6.47E+09,1.21E+09,1.03,5.36E+05,2.92E+05,2.93E+05,1.37E+05,1.28E+05,3.02E+04,,,,,,,6.11E+03,,,,,,3/22/23,3/29/23,4/5/23,4/13/23,,,,,,5.72916479,5.465382851,5.467361417,5.137775961,5.10720997,4.479997419,,,,,0,7,14,22,,,,,,,,5.72916479,5.684871372,5.712467206,5.712467206,5.712467206,5.712467206,5.712467206,5.712467206,,,-0.037683134,-0.018700241,-0.024422879,-0.024422879,-0.024422879,,,,,,45.88696864,#REF!,70.1173353,70.1173353,70.1173353,,,
50,L,23PT0119-5,FDL-105EF-T24-TMC1,Kosakonia sacchari,PVT70%,,tryptone only,T only,yes,21,3,-0.036,40.952,3.42E+09,2.20E+08,1.04,2.77E+05,2.24E+05,8.81E+04,,,,,,,,,1.12E+04,,,,,,,3/30/23,4/5/23,4/13/23,,,,,,,5.442479769,5.350248018,4.945140196,,,,,,,,0,6,14,,,,,,,,,5.442479769,5.488230929,5.488230929,5.488230929,5.488230929,5.488230929,5.488230929,5.488230929,,,-0.015371958,-0.03634124,-0.03634124,,,,,,,,93.83838587,#REF!,40.95157239,,,,,
52,L,23PT0119-5,FDL-105EF-T24-TMC2,Kosakonia sacchari,PVT70%,,tryptone only,T only,yes,21,3,-0.027,52.009,4.76E+09,2.72E+08,1.17,2.85E+05,1.53E+05,1.16E+05,,,,,,,,,1.14E+04,,,,,,,3/30/23,4/5/23,4/13/23,,,,,,,5.45484486,5.185636577,5.063958513,,,,,,,,0,6,14,,,,,,,,,5.45484486,5.416369242,5.416369242,5.416369242,5.416369242,5.416369242,5.416369242,5.416369242,,,-0.044868047,-0.027233389,-0.027233389,,,,,,,,#REF!,52.00855667,52.00855667,,,,,
55,L,23PT0119-8,FDL-105EF-T26-CC1,Klebsiella variicola,PVT70%,,"repeat of P080-22-Y007, tryptone + potato peptone",T + P ,yes,21,2,-0.022,79.668,5.60E+09,3.17E+08,0.91,6.13E+05,3.35E+05,2.84E+05,,,,,,,,,1.74E+04,,,,,,,3/29/23,4/5/23,4/13/23,,,,,,,5.787460475,5.524612458,5.45331834,5.45331834,,,,,,,0,7,15,,,,,,,,,5.787460475,5.749502479,5.749502479,5.749502479,5.749502479,5.749502479,5.749502479,5.749502479,,,-0.037549717,-0.021959826,-0.021959826,,,,,,,,#REF!,79.66832276,79.66832276,,,,,
56,L,23PT0119-8,FDL-105EF-T26-CC2,Klebsiella variicola,PVT70%,,"repeat of P080-22-Y007, tryptone + potato peptone",T + P ,yes,21,2,-0.083,18.532,6.68E+09,3.12E+08,1.12,4.53E+05,5.32E+04,2.51E+04,,,,,,,,,1.68E+04,,,,,,,3/29/23,4/5/23,4/13/23,,,,,,,5.656098202,4.725911632,4.399096586,4.399096586,,,,,,,0,7,15,,,,,,,,,5.656098202,5.534115072,5.534115072,5.534115072,5.534115072,5.534115072,5.534115072,5.534115072,,,-0.132883796,-0.082783582,-0.082783582,,,,,,,,#REF!,18.53163443,18.53163443,,,,,
57,L,23PT0119-8,FDL-105EF-T26-TMC1,Klebsiella variicola,PVT70%,,"repeat of P080-22-Y007, tryptone + potato peptone",T + P ,yes,21,2,-0.017,111.640,6.61E+09,1.22E+09,0.89,7.64E+05,5.79E+05,4.27E+05,,,,,,,,,4.69E+04,,,,,,,3/29/23,4/5/23,4/13/23,,,,,,,5.883093359,5.762428466,5.630088715,5.630088715,,,,,,,0,7,15,,,,,,,,,5.883093359,5.882171681,5.882171681,5.882171681,5.882171681,5.882171681,5.882171681,5.882171681,,,-0.017237842,-0.016859296,-0.016859296,,,,,,,,#REF!,111.6399953,111.6399953,,,,,
58,L,23PT0119-8,FDL-105EF-T26-TMC2,Klebsiella variicola,PVT70%,,"repeat of P080-22-Y007, tryptone + potato peptone",T + P ,yes,21,2,-0.018,100.400,4.77E+09,5.22E+08,0.82,6.39E+05,3.87E+05,3.44E+05,,,,,,,,,1.83E+04,,,,,,,3/29/23,4/5/23,4/13/23,,,,,,,5.805500858,5.587336735,5.536558443,5.536558443,,,,,,,0,7,15,,,,,,,,,5.805500858,5.772604646,5.772604646,5.772604646,5.772604646,5.772604646,5.772604646,5.772604646,,,-0.031166303,-0.017655359,-0.017655359,,,,,,,,#REF!,100.4003724,100.4003724,,,,,
69,M,23PT0227-4,FDL-111A-T02,Kosakonia sacchari,PVT70%,,Tryptone only,T only,no,,,-0.051,10.884,5.38E+08,2.14E+07,1.13,3.56E+04,1.40E+04,,,,,,,,,2.23E+03,,,,,,,,4/4/23,4/12/23,,,,,,,,4.551449998,4.146128036,,4.146128036,,,,,,,0,8,,,,,,,,,,4.551449998,4.551449998,4.551449998,4.551449998,4.551449998,4.551449998,4.551449998,4.551449998,,,-0.050665245,,-0.050665245,,,,,,,,#REF!,,10.88418688,,,,,
