id,Unique ID,FD sample ID,FD Run ID,Strain,Cryo mix,FD_recipe,Ferm Condition,FC,Aged,Aged_Temp,Aged_Weeks,DR_latest,Est_latest,ExtenderCFU_ml,ExtenderCFU_ml_SD,Application_loss_CFU,W0,W1,W2,W3,W4,W5,W6,W7,W8,SD0,SD1,SD2,SD3,SD4,SD5,SD6,SD7,SD8,Plated_W0,Plated_W1,Plated_W2,Plated_W3,Plated_W4,Plated_W5,Plated_W6,Plated_W7,Plated_W8,log_W0,log_W1,log_W2,log_W3,log_W4,log_W5,log_W6,log_W7,log_W8,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,,#VALUE!,,,,,,,,#VALUE!,#VALUE!,,,,,,
16,C,22PT1117-9,FDL-105B-T11,Klebsiella variicola,DSR,," Potato peptone and tryptone, low viscosity",T + P,no,,,-0.028,75.805,1.91E+10,1.89E+09,1.03,1.59E+06,1.08E+06,3.89E+05,,2.19E+05,3.70E+04,,,,2.27E+05,2.26E+05,9.74E+04,,,,,,,1/5/23,1/12/23,1/19/23,1/26/23,2/2/23,3/3/23,,,,6.200485698,6.033423755,5.590321588,,5.340444115,4.568201724,,,,,0,7,14,21,28,57,,,,,,6.200485698,6.246492402,6.246492402,6.183636416,6.147025476,6.147025476,6.147025476,6.147025476,,,-0.023865992,-0.043583151,,-0.032038174,-0.028323118,,,,,,92.20172862,51.54497473,,68.15733141,75.80470069,,,
18,C,22PT1202-2,FDL-105B-T12,Kosakonia sacchari,PVT70%,," Potato peptone and tryptone, low viscosity",T + P,no,,,-0.096,12.858,3.27E+09,3.45E+08,1.16,2.00E+05,2.68E+04,9.07E+03,,3.73E+03,,,,,1.44E+04,1.13E+03,1.85E+03,,,,,,,1/5/23,1/12/23,1/19/23,1/26/23,,,,,,5.301029996,4.428134794,3.957447649,,3.571708832,,,,,,0,7,14,21,,,,,,,,5.301029996,5.23399532,5.23399532,5.23399532,5.23399532,5.23399532,5.23399532,5.23399532,,,-0.124699315,-0.095970168,,-0.095970168,,,,,,,10.43333719,12.85811362,,12.85811362,,,,
19,D,22PT1216-3,FDL-105C-T13,Klebsiella variicola,DSR,,"Glucose, high EPS, CR broth","Glucose, high EPS, CR broth",no,,,-0.080,26.413,1.38E+10,1.77E+09,1.10,9.73E+05,4.73E+05,7.03E+04,7.85E+04,3.73E+03,,,,,1.51E+05,1.16E+05,2.62E+04,,,,,,,1/13/23,1/20/23,1/27/23,2/3/23,2/10/23,,,,,5.988261597,5.674861141,4.846955325,4.894869657,3.571708832,,,,,,0,7,14,21,28,,,,,,,5.988261597,6.07401249,5.967449175,6.117950713,6.117950713,6.117950713,6.117950713,6.117950713,,,-0.044771494,-0.081521877,-0.058686881,-0.0801871,,,,,,,44.40909677,25.44117699,33.52451448,26.41261135,,,,
20,D,22PT1102-8,FDL-105C-T14,Klebsiella variicola,PVT70%,,"Glucose, no EPS","Glucose, no EPS",no,,,-0.030,69.269,3.77E+10,3.59E+09,1.07,2.85E+06,9.77E+05,2.73E+05,3.20E+05,2.28E+04,6.72E+04,,,,3.72E+05,1.24E+05,5.66E+04,,,,,,,1/13/23,1/20/23,1/27/23,2/3/23,2/10/23,3/10/23,,,,6.45535251,5.989894564,5.436162647,5.505149978,4.357934847,4.827369273,,,,,0,7,14,21,28,56,,,,,,6.45535251,6.470064838,6.357290851,6.484814891,6.050186077,6.050186077,6.050186077,6.050186077,,,-0.066493992,-0.072799276,-0.048633422,-0.066851142,-0.029597243,,,,,,36.92593006,33.92979954,48.47059438,37.16937112,69.26949459,,,
23,D,22PT1117-5,FDL-105C-T15,Kosakonia sacchari,PVT70%,,"Potato peptone only, less EPS, pH control",P only,no,,,-0.019,73.461,4.21E+09,7.51E+08,1.07,3.20E+05,1.95E+05,8.93E+04,6.93E+04,8.53E+04,2.37E+04,,,,4.61E+04,3.33E+04,1.67E+04,,,,,,,1/13/23,1/20/23,1/27/23,2/3/23,2/10/23,3/10/23,,,,5.505149978,5.290034611,4.950851459,4.840733235,4.930949031,4.374748346,,,,,0,7,14,21,28,56,,,,,,5.505149978,5.525827943,5.496557328,5.423084317,5.375203766,5.375203766,5.375203766,5.375203766,,,-0.030730767,-0.039592751,-0.033320477,-0.022824332,-0.018720285,,,,,,48.97860156,38.53806288,44.91404287,62.34943872,73.46062046,,,
28,D,22PT1102-9,FDL-105C-T16,Klebsiella variicola,DSR,,"Glucose, no EPS","Glucose, no EPS",no,,,-0.031,67.232,1.84E+10,2.23E+09,0.83,2.44E+06,9.39E+05,3.11E+05,3.57E+05,3.45E+04,4.71E+04,,,,2.23E+05,1.19E+05,4.62E+04,,,,,,,1/13/23,1/20/23,1/27/23,2/3/23,2/10/23,3/10/23,,,,6.387389826,5.972665592,5.492760389,5.552668216,4.537819095,4.673020907,,,,,0,7,14,21,28,56,,,,,,6.387389826,6.398253321,6.298981511,6.412488392,6.088354311,6.088354311,6.088354311,6.088354311,,,-0.059246319,-0.063902103,-0.042629572,-0.058844841,-0.031061919,,,,,,40.29600253,37.53011593,53.92926572,40.99744971,67.23197902,,,
29,D,22PT1117-6,FDL-105C-T17,Kosakonia sacchari,DSR,,"Potato peptone only, less EPS, pH control",P only,no,,,-0.032,54.539,6.27E+09,6.35E+08,0.95,6.20E+05,4.59E+05,1.19E+05,7.07E+04,1.21E+05,,,,,9.04E+04,5.00E+04,2.27E+04,,,,,,,1/13/23,1/20/23,1/27/23,2/3/23,2/10/23,,,,,5.792391689,5.661812686,5.075546961,4.849419414,5.08278537,,,,,,0,7,14,21,28,,,,,,,5.792391689,5.868339476,5.85707007,5.738712406,5.738712406,5.738712406,5.738712406,5.738712406,,,-0.018654143,-0.051203195,-0.048788322,-0.031880084,,,,,,,96.08544594,36.48872851,38.06382323,54.53914057,,,,
30,D,22PT1216-2,FDL-105C-T18,Klebsiella variicola,PVT70%,,"Glucose, high EPS, CR broth","Glucose, high EPS, CR broth",no,,,-0.090,26.806,1.97E+10,2.66E+09,0.94,2.01E+06,1.11E+06,6.21E+04,7.73E+04,5.40E+03,,,,,2.20E+05,1.29E+05,1.76E+04,,,,,,,1/13/23,1/20/23,1/27/23,2/3/23,2/10/23,,,,,6.303915684,6.045322979,4.7930916,4.888179494,3.73239376,,,,,,0,7,14,21,28,,,,,,,6.303915684,6.469522129,6.332543431,6.41261817,6.41261817,6.41261817,6.41261817,6.41261817,,,-0.036941815,-0.107916006,-0.078563428,-0.090002676,,,,,,,62.36606628,22.88374284,29.68993965,26.80607147,,,,
32,D,22PT1216-1,FDL-105D-T19,Klebsiella variicola,SKP,,"Glucose, high EPS, CR broth","Glucose, high EPS, CR broth",no,,,-0.073,30.117,1.51E+10,1.40E+09,1.00,1.33E+06,4.32E+05,1.39E+05,1.68E+05,5.87E+03,,,,,2.41E+05,7.63E+04,3.40E+04,,,,,,,1/13/23,1/20/23,1/27/23,2/3/23,2/10/23,,,,,6.124938737,5.635483747,5.1430148,5.225309282,3.768638101,,,,,,0,7,14,21,28,,,,,,,6.124938737,6.125441063,6.010890238,6.20403208,6.20403208,6.20403208,6.20403208,6.20403208,,,-0.069922141,-0.070137424,-0.045590819,-0.073182511,,,,,,,30.3900695,30.30395103,44.10735087,30.11692363,,,,
34,D,22PT1102-7,FDL-105D-T20,Klebsiella variicola,SKP,,"Glucose, no EPS","Glucose, no EPS",no,,,-0.027,76.291,1.84E+10,1.39E+09,0.98,1.71E+06,5.69E+05,3.51E+05,2.57E+05,4.05E+05,3.17E+04,,,,2.20E+05,9.00E+04,6.71E+04,,,,,,,1/13/23,1/20/23,1/27/23,2/3/23,2/10/23,3/10/23,,,,6.232148706,5.755112266,5.545307116,5.409933123,5.607455023,4.501059262,,,,,0,7,14,21,28,56,,,,,,6.232148706,6.187610158,6.137093088,6.028904549,6.081444566,6.081444566,6.081444566,6.081444566,,,-0.068148063,-0.049060114,-0.038235027,-0.022779522,-0.027282952,,,,,,32.75439702,44.59040144,55.89359414,89.06703961,76.29103331,,,
