Unique ID,FD sample ID,FD Run ID,Strain,Cryo mix,Sub-Sample,Ferm Condition,Storage form,Temperature (°C),Container,Bulking,Desiccant,Quantity (g),Sample location,Week 0 CFU/g,Week 2 CFU/g,Week 4 CFU/g,Week 8 CFU/g,Week 12 CFU/g,decay_rate_fitted,Rsquared_fitted,decay_rate_errbar,decay_rate_lower95interval,decay_rate_upper95interval,estimate_day_2e10,Week 0 Aw,Week 2 Aw,Week 4 Aw,Week 8 Aw,Week 12 Aw,,,,
17,IFF10202022-1,FDL-101A1,Kosakonia sacchari,PVT70%,pellet_21_mylar_cacl2,"Glucose, no EPS",Pellet,21,Mylar,PVT,2%CaCl2,8,BINDER @D120,2.89E+11,,3.00E+10,1.10E+10,9.63E+09,-0.017380689,0.846257196,0.010267064,-0.027647753,-0.007113624,6.67E+01,0.343,,0.305,0.287,0.308,,,,
18,IFF10202022-1,FDL-101A1,Kosakonia sacchari,PVT70%,pellet_4_mylar_n,"Glucose, no EPS",Pellet,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,2.89E+11,,2.69E+11,1.49E+11,1.31E+11,-0.004582216,0.899315573,0.002124877,-0.006707093,-0.002457339,2.53E+02,0.343,,n/m,n/m,n/m,,,,
19,IFF10202022-1,FDL-101A1,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,"Glucose, no EPS",Bulked powder,21,Mylar,PVT,5%SIO2,8,BINDER @D120,1.27E+11,,1.29E+10,4.94E+09,2.27E+09,-0.020197318,0.930762655,0.007634446,-0.027831764,-0.012562872,3.97E+01,0.348,,0.319,0.305,0.329,,,,
20,IFF10202022-2,FDL-101B1,Kosakonia sacchari,PVT70%,pellet_21_mylar_n,"Glucose, no EPS",Pellet,21,Mylar,PVT,5%SIO2,8,BINDER @D120,2.20E+11,,3.80E+08,4.18E+08,2.45E+08,-0.031504767,0.652118016,0.031890567,-0.063395334,0.0003858,3.31E+01,0.306,,0.33,0.308,0.324,,,,
21,IFF10202022-2,FDL-101B1,Kosakonia sacchari,PVT70%,pellet_21_mylar_cacl2,"Glucose, no EPS",Pellet,21,Mylar,PVT,2%CaCl2,8,BINDER @D120,2.20E+11,,3.42E+09,3.80E+07,3.34E+08,-0.037194188,0.697036975,0.033984046,-0.071178235,-0.003210142,2.80E+01,0.306,,0.271,0.254,0.227,,,,
22,IFF10202022-2,FDL-101B1,Kosakonia sacchari,PVT70%,pellet_4_mylar_n,"Glucose, no EPS",Pellet,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,2.20E+11,,1.38E+11,8.55E+10,8.66E+10,-0.0050867,0.883976428,0.002554006,-0.007640706,-0.002532693,2.05E+02,0.306,,n/m,n/m,n/m,,,,
23,IFF10202022-2,FDL-101B1,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,"Glucose, no EPS",Bulked powder,21,Mylar,PVT,5%SIO2,8,BINDER @D120,1.07E+11,,3.80E+08,4.94E+08,1.31E+08,-0.030788636,0.725604078,0.02623992,-0.057028556,-0.004548716,2.36E+01,0.315,,0.307,0.271,0.301,,,,
24,22PT1202-12,FDL-105A-T02,Klebsiella variicola,DSR,pellet_4_mylar_n,"T+P, 0.7% XG",Pellet,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,1.84E+11,,2.89E+11,,,0.006966852,1,,,,-1.38E+02,0.107,,,,,,,,
25,22PT1202-12,FDL-105A-T02,Klebsiella variicola,DSR,pellet_21_mylar_n,"T+P, 0.7% XG",Pellet,21,Mylar,PVT,5%SIO2,8,BINDER @D120,1.84E+11,,4.22E+10,5.74E+09,,-0.026906514,0.992561548,0.004565287,-0.031471801,-0.022341227,3.58E+01,0.107,,0.216,0.184,,,,,
26,22PT1202-12,FDL-105A-T02,Klebsiella variicola,DSR,bulked powder_4_mylar_n,"T+P, 0.7% XG",Bulked powder,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,9.80E+10,,1.31E+11,,,0.004513451,1,,,,-1.53E+02,0.19,,,,,,,,
27,22PT1202-12,FDL-105A-T02,Klebsiella variicola,DSR,unbulked powder_21_mylar_n,"T+P, 0.7% XG",Unbulked powder,21,Mylar,PVT,5%SIO2,8,BINDER @D120,1.84E+11,,4.10E+10,1.11E+10,,-0.021792123,0.998380785,0.001720093,-0.023512216,-0.02007203,4.43E+01,0.19,,0.222,0.19,,,,,
28,22PT1202-12,FDL-105A-T02,Klebsiella variicola,DSR,bulked powder_21_mylar_n,"T+P, 0.7% XG",Bulked powder,21,Mylar,PVT,5%SIO2,8,BINDER @D120,9.80E+10,,2.20E+10,6.19E+09,,-0.021415266,0.99783413,0.001955503,-0.023370769,-0.019459762,3.22E+01,0.19,,0.238,0.213,,,,,
