FD Run ID,Sample Description,Storage form,Temperature (C),T0,Date,W0_CFU/mL,W1_CFU/mL,W8_CFU/mL,W0_CFU/g,W1_CFU/g,W8_CFU/g,W0_Water Activity,W1_Water Activity,W8_Water Activity
FDL-111D-T13,,Pellet,,2023-04-06,2023-04-06,15900000000.0,,,301000000000.0,,,,,
FDL-111D-T14,,Pellet,,2023-04-06,2023-04-06,14900000000.0,,,284000000000.0,,,,,
FDL-111D-T15,,Pellet,,2023-04-06,2023-04-06,19900000000.0,,,377000000000.0,,,,,
FDL-111D-T16,,Pellet,,2023-04-06,2023-04-06,9920000000.0,,,188000000000.0,,,,,
EDKLUB02202302,,Bulked powder,,2023-04-07,2023-04-07,1720000000.0,,,32700000000.0,,,,,
EDKOKO02222302,,Bulked powder,,2023-04-07,2023-04-07,356000000.0,,,6760000000.0,,,,,
FDL-105K-T42,,Bulked powder,,2023-04-07,2023-04-07,403000000.0,,,7650000000.0,,,,,
FDL-105K-T44,,Bulked powder,,2023-04-07,2023-04-07,113000000.0,,,2150000000.0,,,,,
FDL-105EF-T24 TMC1,,Bulked powder,,2023-04-07,2023-04-07,1570000000.0,,,29900000000.0,,,0.298,,
FDL-105EF-T24 TMC2,,Bulked powder,,2023-04-07,2023-04-07,2120000000.0,,,40300000000.0,,,0.301,,
FD-23-0006-T3,,,,2023-03-13,2023-03-15,1720000000.0,,,377000000000.0,,,,,
