id,Unique ID,FD sample ID,FD Run ID,Strain,Cryo mix,FD_recipe,Desiccant,FC,Aged,,DR_latest,Est_latest,ExtenderCFU_ml,ExtenderCFU_ml_SD,Application Log Loss,Plating Date,CFU/Seed,CFU/Seed Stdev,T0?,Days,Log CFU,Y-Intercept,Decay Rate,EstDays,T0 Date
17,D,22PT1117-6,FDL-105C-T17,Kosakonia sacchari,DSR,PVT090-A0,5%SIO2,P only,no,Fresh,-0.025,54.539,6.27E+09,6.35E+08,0.95,1/27/23,1.19E+05,2.27E+04,No,14.00,5.08,5.87,-0.051,36.49,1/13/23
17,D,22PT1117-6,FDL-105C-T17,Kosakonia sacchari,DSR,PVT090-A0,5%SIO2,P only,no,Fresh,-0.025,54.539,6.27E+09,6.35E+08,0.95,2/3/23,7.07E+04,,No,21.00,4.85,5.86,-0.045,38.06,1/13/23
17,D,22PT1117-6,FDL-105C-T17,Kosakonia sacchari,DSR,PVT090-A0,5%SIO2,P only,no,Fresh,-0.025,54.539,6.27E+09,6.35E+08,0.95,2/10/23,1.21E+05,,No,28.00,5.08,5.74,-0.025,54.54,1/13/23
17,D,22PT1117-6,FDL-105C-T17,Kosakonia sacchari,DSR,PVT090-A0,5%SIO2,P only,no,Fresh,-0.025,54.539,6.27E+09,6.35E+08,0.95,,,,No,,,,,,1/13/23
17,D,22PT1117-6,FDL-105C-T17,Kosakonia sacchari,DSR,PVT090-A0,5%SIO2,P only,no,Fresh,-0.025,54.539,6.27E+09,6.35E+08,0.95,,,,No,,,,,,1/13/23
17,D,22PT1117-6,FDL-105C-T17,Kosakonia sacchari,DSR,PVT090-A0,5%SIO2,P only,no,Fresh,-0.025,54.539,6.27E+09,6.35E+08,0.95,,,,No,,,,,,1/13/23
17,D,22PT1117-6,FDL-105C-T17,Kosakonia sacchari,DSR,PVT090-A0,5%SIO2,P only,no,Fresh,-0.025,54.539,6.27E+09,6.35E+08,0.95,,,,No,,,,,,1/13/23
18,D,22PT1216-2,FDL-105C-T18,Klebsiella variicola,PVT70%,PVT090-A0,5%SIO2,"Glucose, high EPS, CR broth",no,Fresh,-0.092,26.806,1.97E+10,2.66E+09,0.94,1/13/23,2.01E+06,2.20E+05,Yes,0.00,6.30,,,,1/13/23
18,D,22PT1216-2,FDL-105C-T18,Klebsiella variicola,PVT70%,PVT090-A0,5%SIO2,"Glucose, high EPS, CR broth",no,Fresh,-0.092,26.806,1.97E+10,2.66E+09,0.94,1/20/23,1.11E+06,1.29E+05,No,7.00,6.05,6.30,-0.037,62.37,1/13/23
18,D,22PT1216-2,FDL-105C-T18,Klebsiella variicola,PVT70%,PVT090-A0,5%SIO2,"Glucose, high EPS, CR broth",no,Fresh,-0.092,26.806,1.97E+10,2.66E+09,0.94,1/27/23,6.21E+04,1.76E+04,No,14.00,4.79,6.47,-0.108,22.88,1/13/23
18,D,22PT1216-2,FDL-105C-T18,Klebsiella variicola,PVT70%,PVT090-A0,5%SIO2,"Glucose, high EPS, CR broth",no,Fresh,-0.092,26.806,1.97E+10,2.66E+09,0.94,2/3/23,7.73E+04,,No,21.00,4.89,6.33,-0.067,29.69,1/13/23
18,D,22PT1216-2,FDL-105C-T18,Klebsiella variicola,PVT70%,PVT090-A0,5%SIO2,"Glucose, high EPS, CR broth",no,Fresh,-0.092,26.806,1.97E+10,2.66E+09,0.94,2/10/23,5.40E+03,,No,28.00,3.73,6.41,-0.092,26.81,1/13/23
18,D,22PT1216-2,FDL-105C-T18,Klebsiella variicola,PVT70%,PVT090-A0,5%SIO2,"Glucose, high EPS, CR broth",no,Fresh,-0.092,26.806,1.97E+10,2.66E+09,0.94,,,,No,,,,,,1/13/23
18,D,22PT1216-2,FDL-105C-T18,Klebsiella variicola,PVT70%,PVT090-A0,5%SIO2,"Glucose, high EPS, CR broth",no,Fresh,-0.092,26.806,1.97E+10,2.66E+09,0.94,,,,No,,,,,,1/13/23
18,D,22PT1216-2,FDL-105C-T18,Klebsiella variicola,PVT70%,PVT090-A0,5%SIO2,"Glucose, high EPS, CR broth",no,Fresh,-0.092,26.806,1.97E+10,2.66E+09,0.94,,,,No,,,,,,1/13/23
18,D,22PT1216-2,FDL-105C-T18,Klebsiella variicola,PVT70%,PVT090-A0,5%SIO2,"Glucose, high EPS, CR broth",no,Fresh,-0.092,26.806,1.97E+10,2.66E+09,0.94,,,,No,,,,,,1/13/23
19,D,22PT1216-1,FDL-105D-T19,Klebsiella variicola,SKP,PVT090-A0,5%SIO2,"Glucose, high EPS, CR broth",no,Fresh,-0.084,30.117,1.51E+10,1.40E+09,1.00,1/13/23,1.33E+06,2.41E+05,Yes,0.00,6.12,,,,1/13/23
19,D,22PT1216-1,FDL-105D-T19,Klebsiella variicola,SKP,PVT090-A0,5%SIO2,"Glucose, high EPS, CR broth",no,Fresh,-0.084,30.117,1.51E+10,1.40E+09,1.00,1/20/23,4.32E+05,7.63E+04,No,7.00,5.64,6.12,-0.070,30.39,1/13/23
19,D,22PT1216-1,FDL-105D-T19,Klebsiella variicola,SKP,PVT090-A0,5%SIO2,"Glucose, high EPS, CR broth",no,Fresh,-0.084,30.117,1.51E+10,1.40E+09,1.00,1/27/23,1.39E+05,3.40E+04,No,14.00,5.14,6.13,-0.070,30.30,1/13/23
19,D,22PT1216-1,FDL-105D-T19,Klebsiella variicola,SKP,PVT090-A0,5%SIO2,"Glucose, high EPS, CR broth",no,Fresh,-0.084,30.117,1.51E+10,1.40E+09,1.00,2/3/23,1.68E+05,,No,21.00,5.23,6.01,-0.043,44.11,1/13/23
19,D,22PT1216-1,FDL-105D-T19,Klebsiella variicola,SKP,PVT090-A0,5%SIO2,"Glucose, high EPS, CR broth",no,Fresh,-0.084,30.117,1.51E+10,1.40E+09,1.00,2/10/23,5.87E+03,,No,28.00,3.77,6.20,-0.084,30.12,1/13/23
19,D,22PT1216-1,FDL-105D-T19,Klebsiella variicola,SKP,PVT090-A0,5%SIO2,"Glucose, high EPS, CR broth",no,Fresh,-0.084,30.117,1.51E+10,1.40E+09,1.00,,,,No,,,,,,1/13/23
19,D,22PT1216-1,FDL-105D-T19,Klebsiella variicola,SKP,PVT090-A0,5%SIO2,"Glucose, high EPS, CR broth",no,Fresh,-0.084,30.117,1.51E+10,1.40E+09,1.00,,,,No,,,,,,1/13/23
19,D,22PT1216-1,FDL-105D-T19,Klebsiella variicola,SKP,PVT090-A0,5%SIO2,"Glucose, high EPS, CR broth",no,Fresh,-0.084,30.117,1.51E+10,1.40E+09,1.00,,,,No,,,,,,1/13/23
19,D,22PT1216-1,FDL-105D-T19,Klebsiella variicola,SKP,PVT090-A0,5%SIO2,"Glucose, high EPS, CR broth",no,Fresh,-0.084,30.117,1.51E+10,1.40E+09,1.00,,,,No,,,,,,1/13/23
20,D,22PT1102-7,FDL-105D-T20,Klebsiella variicola,SKP,PVT090-A0,5%SIO2,"Glucose, no EPS",no,Fresh,-0.031,76.291,1.84E+10,1.39E+09,0.98,1/13/23,1.71E+06,2.20E+05,Yes,0.00,6.23,,,,1/13/23
20,D,22PT1102-7,FDL-105D-T20,Klebsiella variicola,SKP,PVT090-A0,5%SIO2,"Glucose, no EPS",no,Fresh,-0.031,76.291,1.84E+10,1.39E+09,0.98,1/20/23,5.69E+05,9.00E+04,No,7.00,5.76,6.23,-0.068,32.75,1/13/23
20,D,22PT1102-7,FDL-105D-T20,Klebsiella variicola,SKP,PVT090-A0,5%SIO2,"Glucose, no EPS",no,Fresh,-0.031,76.291,1.84E+10,1.39E+09,0.98,1/27/23,3.51E+05,6.71E+04,No,14.00,5.55,6.19,-0.049,44.59,1/13/23
20,D,22PT1102-7,FDL-105D-T20,Klebsiella variicola,SKP,PVT090-A0,5%SIO2,"Glucose, no EPS",no,Fresh,-0.031,76.291,1.84E+10,1.39E+09,0.98,2/3/23,2.57E+05,,No,21.00,5.41,6.14,-0.039,55.89,1/13/23
20,D,22PT1102-7,FDL-105D-T20,Klebsiella variicola,SKP,PVT090-A0,5%SIO2,"Glucose, no EPS",no,Fresh,-0.031,76.291,1.84E+10,1.39E+09,0.98,2/10/23,4.05E+05,,No,28.00,5.61,6.03,-0.022,89.07,1/13/23
20,D,22PT1102-7,FDL-105D-T20,Klebsiella variicola,SKP,PVT090-A0,5%SIO2,"Glucose, no EPS",no,Fresh,-0.031,76.291,1.84E+10,1.39E+09,0.98,,,,No,,,,,,1/13/23
20,D,22PT1102-7,FDL-105D-T20,Klebsiella variicola,SKP,PVT090-A0,5%SIO2,"Glucose, no EPS",no,Fresh,-0.031,76.291,1.84E+10,1.39E+09,0.98,,,,No,,,,,,1/13/23
20,D,22PT1102-7,FDL-105D-T20,Klebsiella variicola,SKP,PVT090-A0,5%SIO2,"Glucose, no EPS",no,Fresh,-0.031,76.291,1.84E+10,1.39E+09,0.98,,,,No,,,,,,1/13/23
20,D,22PT1102-7,FDL-105D-T20,Klebsiella variicola,SKP,PVT090-A0,5%SIO2,"Glucose, no EPS",no,Fresh,-0.031,76.291,1.84E+10,1.39E+09,0.98,3/10/23,3.17E+04,,No,56.00,4.50,6.08,-0.031,76.29,1/13/23
21,D,22PT1117-4,FDL-105D-T21,Kosakonia sacchari,SKP,PVT090-A0,5%SIO2,P only,no,Fresh,-0.071,12.687,1.51E+09,1.62E+08,1.24,1/13/23,7.75E+04,1.16E+04,Yes,0.00,4.89,,,,1/13/23
21,D,22PT1117-4,FDL-105D-T21,Kosakonia sacchari,SKP,PVT090-A0,5%SIO2,P only,no,Fresh,-0.071,12.687,1.51E+09,1.62E+08,1.24,1/20/23,2.77E+04,6.38E+03,No,7.00,4.44,4.89,-0.064,13.93,1/13/23
21,D,22PT1117-4,FDL-105D-T21,Kosakonia sacchari,SKP,PVT090-A0,5%SIO2,P only,no,Fresh,-0.071,12.687,1.51E+09,1.62E+08,1.24,1/27/23,7.73E+03,1.85E+03,No,14.00,3.89,4.91,-0.071,12.69,1/13/23
21,D,22PT1117-4,FDL-105D-T21,Kosakonia sacchari,SKP,PVT090-A0,5%SIO2,P only,no,Fresh,-0.071,12.687,1.51E+09,1.62E+08,1.24,2/3/23,,,No,,,,,,1/13/23
21,D,22PT1117-4,FDL-105D-T21,Kosakonia sacchari,SKP,PVT090-A0,5%SIO2,P only,no,Fresh,-0.071,12.687,1.51E+09,1.62E+08,1.24,2/10/23,,,No,,,,,,1/13/23
21,D,22PT1117-4,FDL-105D-T21,Kosakonia sacchari,SKP,PVT090-A0,5%SIO2,P only,no,Fresh,-0.071,12.687,1.51E+09,1.62E+08,1.24,,,,No,,,,,,1/13/23
21,D,22PT1117-4,FDL-105D-T21,Kosakonia sacchari,SKP,PVT090-A0,5%SIO2,P only,no,Fresh,-0.071,12.687,1.51E+09,1.62E+08,1.24,,,,No,,,,,,1/13/23
21,D,22PT1117-4,FDL-105D-T21,Kosakonia sacchari,SKP,PVT090-A0,5%SIO2,P only,no,Fresh,-0.071,12.687,1.51E+09,1.62E+08,1.24,,,,No,,,,,,1/13/23
21,D,22PT1117-4,FDL-105D-T21,Kosakonia sacchari,SKP,PVT090-A0,5%SIO2,P only,no,Fresh,-0.071,12.687,1.51E+09,1.62E+08,1.24,,,,No,,,,,,1/13/23
22,E,23PT0119-2,FDL-105EF-T22,Kosakonia sacchari,PVT70%,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.029,64.708,1.25E+10,4.41E+09,1.08,1/30/23,9.20E+05,,Yes,0.00,5.96,,,,1/30/23
22,E,23PT0119-2,FDL-105EF-T22,Kosakonia sacchari,PVT70%,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.029,64.708,1.25E+10,4.41E+09,1.08,2/6/23,1.45E+05,,No,7.00,5.16,5.96,-0.115,17.13,1/30/23
22,E,23PT0119-2,FDL-105EF-T22,Kosakonia sacchari,PVT70%,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.029,64.708,1.25E+10,4.41E+09,1.08,2/13/23,1.65E+05,,No,14.00,5.22,5.82,-0.053,34.15,1/30/23
22,E,23PT0119-2,FDL-105EF-T22,Kosakonia sacchari,PVT70%,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.029,64.708,1.25E+10,4.41E+09,1.08,2/21/23,9.41E+04,,No,22.00,4.97,5.75,-0.045,44.33,1/30/23
22,E,23PT0119-2,FDL-105EF-T22,Kosakonia sacchari,PVT70%,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.029,64.708,1.25E+10,4.41E+09,1.08,2/27/23,5.72E+04,,No,28.00,4.76,5.73,-0.043,47.44,1/30/23
22,E,23PT0119-2,FDL-105EF-T22,Kosakonia sacchari,PVT70%,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.029,64.708,1.25E+10,4.41E+09,1.08,,,,No,,,,,,1/30/23
22,E,23PT0119-2,FDL-105EF-T22,Kosakonia sacchari,PVT70%,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.029,64.708,1.25E+10,4.41E+09,1.08,,,,No,,,,,,1/30/23
22,E,23PT0119-2,FDL-105EF-T22,Kosakonia sacchari,PVT70%,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.029,64.708,1.25E+10,4.41E+09,1.08,,,,No,,,,,,1/30/23
22,E,23PT0119-2,FDL-105EF-T22,Kosakonia sacchari,PVT70%,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.029,64.708,1.25E+10,4.41E+09,1.08,3/28/23,2.14E+04,,No,57.00,4.33,5.59,-0.029,64.71,1/30/23
23,E,23PT0119-3,FDL-105EF-T23,Kosakonia sacchari,DSR,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.019,46.570,4.28E+09,1.55E+09,1.64,1/30/23,8.60E+04,,Yes,0.00,4.93,,,,1/30/23
23,E,23PT0119-3,FDL-105EF-T23,Kosakonia sacchari,DSR,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.019,46.570,4.28E+09,1.55E+09,1.64,2/6/23,6.11E+04,,No,7.00,4.79,4.93,-0.021,44.06,1/30/23
23,E,23PT0119-3,FDL-105EF-T23,Kosakonia sacchari,DSR,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.019,46.570,4.28E+09,1.55E+09,1.64,2/13/23,1.40E+04,,No,14.00,4.15,5.02,-0.056,18.05,1/30/23
23,E,23PT0119-3,FDL-105EF-T23,Kosakonia sacchari,DSR,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.019,46.570,4.28E+09,1.55E+09,1.64,2/21/23,3.72E+04,,No,22.00,4.57,4.86,-0.017,37.39,1/30/23
23,E,23PT0119-3,FDL-105EF-T23,Kosakonia sacchari,DSR,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.019,46.570,4.28E+09,1.55E+09,1.64,2/27/23,2.56E+04,,No,28.00,4.41,4.82,-0.019,46.57,1/30/23
23,E,23PT0119-3,FDL-105EF-T23,Kosakonia sacchari,DSR,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.019,46.570,4.28E+09,1.55E+09,1.64,,,,No,,,,,,1/30/23
23,E,23PT0119-3,FDL-105EF-T23,Kosakonia sacchari,DSR,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.019,46.570,4.28E+09,1.55E+09,1.64,,,,No,,,,,,1/30/23
23,E,23PT0119-3,FDL-105EF-T23,Kosakonia sacchari,DSR,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.019,46.570,4.28E+09,1.55E+09,1.64,,,,No,,,,,,1/30/23
23,E,23PT0119-3,FDL-105EF-T23,Kosakonia sacchari,DSR,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.019,46.570,4.28E+09,1.55E+09,1.64,,,,No,,,,,,1/30/23
24,E,23PT0119-5,FDL-105EF-T24,Kosakonia sacchari,PVT70%,PVT090-A0,5%SIO2,T only,no,Fresh,-0.023,73.235,1.07E+10,1.10E+09,1.31,1/30/23,4.61E+05,,Yes,0.00,5.66,,,,1/30/23
24,E,23PT0119-5,FDL-105EF-T24,Kosakonia sacchari,PVT70%,PVT090-A0,5%SIO2,T only,no,Fresh,-0.023,73.235,1.07E+10,1.10E+09,1.31,2/6/23,3.12E+05,,No,7.00,5.49,5.66,-0.024,68.69,1/30/23
24,E,23PT0119-5,FDL-105EF-T24,Kosakonia sacchari,PVT70%,PVT090-A0,5%SIO2,T only,no,Fresh,-0.023,73.235,1.07E+10,1.10E+09,1.31,2/13/23,2.63E+05,,No,14.00,5.42,5.65,-0.017,94.65,1/30/23
24,E,23PT0119-5,FDL-105EF-T24,Kosakonia sacchari,PVT70%,PVT090-A0,5%SIO2,T only,no,Fresh,-0.023,73.235,1.07E+10,1.10E+09,1.31,2/21/23,1.37E+05,,No,22.00,5.14,5.67,-0.024,73.38,1/30/23
24,E,23PT0119-5,FDL-105EF-T24,Kosakonia sacchari,PVT70%,PVT090-A0,5%SIO2,T only,no,Fresh,-0.023,73.235,1.07E+10,1.10E+09,1.31,2/27/23,1.19E+05,,No,28.00,5.08,5.67,-0.021,76.76,1/30/23
24,E,23PT0119-5,FDL-105EF-T24,Kosakonia sacchari,PVT70%,PVT090-A0,5%SIO2,T only,no,Fresh,-0.023,73.235,1.07E+10,1.10E+09,1.31,,,,No,,,,,,1/30/23
24,E,23PT0119-5,FDL-105EF-T24,Kosakonia sacchari,PVT70%,PVT090-A0,5%SIO2,T only,no,Fresh,-0.023,73.235,1.07E+10,1.10E+09,1.31,,,,No,,,,,,1/30/23
24,E,23PT0119-5,FDL-105EF-T24,Kosakonia sacchari,PVT70%,PVT090-A0,5%SIO2,T only,no,Fresh,-0.023,73.235,1.07E+10,1.10E+09,1.31,,,,No,,,,,,1/30/23
24,E,23PT0119-5,FDL-105EF-T24,Kosakonia sacchari,PVT70%,PVT090-A0,5%SIO2,T only,no,Fresh,-0.023,73.235,1.07E+10,1.10E+09,1.31,3/28/23,2.28E+04,,No,57.00,4.36,5.68,-0.023,73.23,1/30/23
25,E,23PT0119-6,FDL-105EF-T25,Kosakonia sacchari,DSR,PVT090-A0,5%SIO2,T only,no,Fresh,-0.019,76.920,1.29E+10,3.00E+09,v,1/30/23,3.55E+05,,Yes,0.00,5.55,,,,1/30/23
25,E,23PT0119-6,FDL-105EF-T25,Kosakonia sacchari,DSR,PVT090-A0,5%SIO2,T only,no,Fresh,-0.019,76.920,1.29E+10,3.00E+09,1.51,2/6/23,2.16E+05,,No,7.00,5.33,5.55,-0.031,50.29,1/30/23
25,E,23PT0119-6,FDL-105EF-T25,Kosakonia sacchari,DSR,PVT090-A0,5%SIO2,T only,no,Fresh,-0.019,76.920,1.29E+10,3.00E+09,1.51,2/13/23,1.92E+05,,No,14.00,5.28,5.52,-0.019,79.87,1/30/23
25,E,23PT0119-6,FDL-105EF-T25,Kosakonia sacchari,DSR,PVT090-A0,5%SIO2,T only,no,Fresh,-0.019,76.920,1.29E+10,3.00E+09,1.51,2/21/23,9.75E+04,,No,22.00,4.99,5.55,-0.026,64.72,1/30/23
25,E,23PT0119-6,FDL-105EF-T25,Kosakonia sacchari,DSR,PVT090-A0,5%SIO2,T only,no,Fresh,-0.019,76.920,1.29E+10,3.00E+09,1.51,2/27/23,1.07E+05,,No,28.00,5.03,5.52,-0.019,76.92,1/30/23
25,E,23PT0119-6,FDL-105EF-T25,Kosakonia sacchari,DSR,PVT090-A0,5%SIO2,T only,no,Fresh,-0.019,76.920,1.29E+10,3.00E+09,1.51,,,,No,,,,,,1/30/23
25,E,23PT0119-6,FDL-105EF-T25,Kosakonia sacchari,DSR,PVT090-A0,5%SIO2,T only,no,Fresh,-0.019,76.920,1.29E+10,3.00E+09,1.51,,,,No,,,,,,1/30/23
25,E,23PT0119-6,FDL-105EF-T25,Kosakonia sacchari,DSR,PVT090-A0,5%SIO2,T only,no,Fresh,-0.019,76.920,1.29E+10,3.00E+09,1.51,,,,No,,,,,,1/30/23
25,E,23PT0119-6,FDL-105EF-T25,Kosakonia sacchari,DSR,PVT090-A0,5%SIO2,T only,no,Fresh,-0.019,76.920,1.29E+10,3.00E+09,1.51,,,,No,,,,,,1/30/23
26,E,23PT0119-8,FDL-105EF-T26,Klebsiella variicola,PVT70%,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.033,74.850,2.13E+10,2.05E+09,0.90,1/30/23,2.40E+06,,Yes,0.00,6.38,,,,1/30/23
26,E,23PT0119-8,FDL-105EF-T26,Klebsiella variicola,PVT70%,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.033,74.850,2.13E+10,2.05E+09,0.90,2/6/23,3.08E+05,,No,7.00,5.49,6.38,-0.127,18.69,1/30/23
26,E,23PT0119-8,FDL-105EF-T26,Klebsiella variicola,PVT70%,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.033,74.850,2.13E+10,2.05E+09,0.90,2/13/23,6.93E+05,,No,14.00,5.84,6.17,-0.039,56.39,1/30/23
26,E,23PT0119-8,FDL-105EF-T26,Klebsiella variicola,PVT70%,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.033,74.850,2.13E+10,2.05E+09,0.90,2/21/23,3.35E+05,,No,22.00,5.53,6.13,-0.039,70.83,1/30/23
26,E,23PT0119-8,FDL-105EF-T26,Klebsiella variicola,PVT70%,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.033,74.850,2.13E+10,2.05E+09,0.90,2/27/23,2.65E+05,,No,28.00,5.42,6.11,-0.034,79.68,1/30/23
26,E,23PT0119-8,FDL-105EF-T26,Klebsiella variicola,PVT70%,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.033,74.850,2.13E+10,2.05E+09,0.90,,,,No,,,,,,1/30/23
26,E,23PT0119-8,FDL-105EF-T26,Klebsiella variicola,PVT70%,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.033,74.850,2.13E+10,2.05E+09,0.90,,,,No,,,,,,1/30/23
26,E,23PT0119-8,FDL-105EF-T26,Klebsiella variicola,PVT70%,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.033,74.850,2.13E+10,2.05E+09,0.90,,,,No,,,,,,1/30/23
26,E,23PT0119-8,FDL-105EF-T26,Klebsiella variicola,PVT70%,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.033,74.850,2.13E+10,2.05E+09,0.90,3/28/23,3.05E+04,,No,57.00,4.48,6.13,-0.033,74.85,1/30/23
27,E,23PT0119-9,FDL-105EF-T27,Klebsiella variicola,DSR,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.024,71.690,2.35E+10,6.11E+08,1.64,1/31/23,4.80E+05,,Yes,0.00,5.68,,,,1/31/23
27,E,23PT0119-9,FDL-105EF-T27,Klebsiella variicola,DSR,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.024,71.690,2.35E+10,6.11E+08,1.64,2/7/23,5.12E+05,,No,7.00,5.71,5.68,0.004,-419.88,1/31/23
27,E,23PT0119-9,FDL-105EF-T27,Klebsiella variicola,DSR,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.024,71.690,2.35E+10,6.11E+08,1.64,2/14/23,3.85E+05,,No,14.00,5.59,5.71,-0.007,249.44,1/31/23
27,E,23PT0119-9,FDL-105EF-T27,Klebsiella variicola,DSR,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.024,71.690,2.35E+10,6.11E+08,1.64,2/21/23,2.39E+05,,No,21.00,5.38,5.74,-0.014,118.22,1/31/23
27,E,23PT0119-9,FDL-105EF-T27,Klebsiella variicola,DSR,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.024,71.690,2.35E+10,6.11E+08,1.64,2/27/23,1.84E+05,,No,27.00,5.26,5.76,-0.015,103.22,1/31/23
27,E,23PT0119-9,FDL-105EF-T27,Klebsiella variicola,DSR,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.024,71.690,2.35E+10,6.11E+08,1.64,,,,No,,,,,,1/31/23
27,E,23PT0119-9,FDL-105EF-T27,Klebsiella variicola,DSR,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.024,71.690,2.35E+10,6.11E+08,1.64,,,,No,,,,,,1/31/23
27,E,23PT0119-9,FDL-105EF-T27,Klebsiella variicola,DSR,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.024,71.690,2.35E+10,6.11E+08,1.64,,,,No,,,,,,1/31/23
27,E,23PT0119-9,FDL-105EF-T27,Klebsiella variicola,DSR,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.024,71.690,2.35E+10,6.11E+08,1.64,3/28/23,2.04E+04,,No,56.00,4.31,5.86,-0.024,71.69,1/31/23
28,E,23PT0119-12,FDL-105EF-T29,Klebsiella variicola,DSR,PVT090-A0,5%SIO2,T only,no,Fresh,-0.028,63.659,2.04E+10,4.85E+09,1.41,1/31/23,7.12E+05,,Yes,0.00,5.85,,,,1/31/23
28,E,23PT0119-12,FDL-105EF-T29,Klebsiella variicola,DSR,PVT090-A0,5%SIO2,T only,no,Fresh,-0.028,63.659,2.04E+10,4.85E+09,1.41,2/7/23,3.81E+05,,No,7.00,5.58,5.85,-0.039,47.75,1/31/23
28,E,23PT0119-12,FDL-105EF-T29,Klebsiella variicola,DSR,PVT090-A0,5%SIO2,T only,no,Fresh,-0.028,63.659,2.04E+10,4.85E+09,1.41,2/14/23,1.03E+05,,No,14.00,5.01,5.90,-0.060,31.71,1/31/23
28,E,23PT0119-12,FDL-105EF-T29,Klebsiella variicola,DSR,PVT090-A0,5%SIO2,T only,no,Fresh,-0.028,63.659,2.04E+10,4.85E+09,1.41,2/21/23,1.08E+05,,No,21.00,5.03,5.82,-0.039,42.20,1/31/23
28,E,23PT0119-12,FDL-105EF-T29,Klebsiella variicola,DSR,PVT090-A0,5%SIO2,T only,no,Fresh,-0.028,63.659,2.04E+10,4.85E+09,1.41,2/27/23,1.17E+05,,No,27.00,5.07,5.74,-0.029,55.39,1/31/23
28,E,23PT0119-12,FDL-105EF-T29,Klebsiella variicola,DSR,PVT090-A0,5%SIO2,T only,no,Fresh,-0.028,63.659,2.04E+10,4.85E+09,1.41,,,,No,,,,,,1/31/23
28,E,23PT0119-12,FDL-105EF-T29,Klebsiella variicola,DSR,PVT090-A0,5%SIO2,T only,no,Fresh,-0.028,63.659,2.04E+10,4.85E+09,1.41,,,,No,,,,,,1/31/23
28,E,23PT0119-12,FDL-105EF-T29,Klebsiella variicola,DSR,PVT090-A0,5%SIO2,T only,no,Fresh,-0.028,63.659,2.04E+10,4.85E+09,1.41,,,,No,,,,,,1/31/23
28,E,23PT0119-12,FDL-105EF-T29,Klebsiella variicola,DSR,PVT090-A0,5%SIO2,T only,no,Fresh,-0.028,63.659,2.04E+10,4.85E+09,1.41,3/28/23,1.81E+04,,No,56.00,4.26,5.69,-0.028,63.66,1/31/23
29,E,23PT0119-7,FDL-105G-T30,Klebsiella variicola,SKP,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.025,86.351,2.35E+10,6.11E+08,1.25,1/31/23,1.17E+06,,Yes,0.00,6.07,,,,1/31/23
29,E,23PT0119-7,FDL-105G-T30,Klebsiella variicola,SKP,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.025,86.351,2.35E+10,6.11E+08,1.25,2/7/23,4.72E+05,,No,7.00,5.67,6.07,-0.056,36.72,1/31/23
29,E,23PT0119-7,FDL-105G-T30,Klebsiella variicola,SKP,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.025,86.351,2.35E+10,6.11E+08,1.25,2/14/23,2.33E+05,,No,14.00,5.37,6.05,-0.050,41.02,1/31/23
29,E,23PT0119-7,FDL-105G-T30,Klebsiella variicola,SKP,PVT090-A0,5%SIO2,T + P ,no,Fresh,-0.025,86.351,2.35E+10,6.11E+08,1.25,2/21/23,1.67E+05,,No,21.00,5.22,6.01,-0.040,49.48,1/31/23
