ID,FD sample ID,FD Run ID,Strain,EFT date,Broth ID,Fermentation Scale,Ferm condition,EFT (hr),Broth titer (CFU/mL),Broth age (day),Pelletization date,Cryo mix,Ingredient 1,Ingredient 2,Ingredient 3,Cryo mix addition rate,FD start date,FD cycle recipe,FD pressure (mTorr),FD run time (hr),Primary ramp rate (C/min),PA receive date,Dry in-house,Dried appearance,Container,Water activity,Viability (CFU/g),Cryo mix Coef,Yield (%),Log Loss
80,23PT0227-6,FDL-111G-T23,Kosakonia sacchari,2/24/23,P010-23-Y012,14L,Peptone only,48,1.96E+11,3,2/27/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,4/7/23,ESL1140,380,30,0.035,4/12/23,FALSE,"tan pelelts, free-flowing",Foil pouch,0.09,3.08E+11,0.285,44.79,-0.35
81,23PT0227-8,FDL-111G-T24,Kosakonia sacchari,2/24/23,P010-23-Y012-Con,14L,"Peptone only, upconcentrated",48,2.61E+11,3,2/27/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,4/7/23,ESL1140,380,30,0.035,4/12/23,FALSE,"light-tan pellets, free-flowing",Foil pouch,0.05,1.07E+11,0.285,11.68,-0.93
82,IFF12282022-12,FDL-111H-T25,Kosakonia sacchari,,Dec-CR,,Glucose,,,,12/28/22,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,4/11/23,ESL1240,380,22,0.065,4/13/23,FALSE,medium-tan/white speckled pellets; free-flowing,Foil pouch,0.22,4.07E+11,0.285,,
83,23PT0227-4,FDL-111H-T26,Kosakonia sacchari,2/24/23,P010-23-Y011,14L,Tryptone only,48,1.83E+11,3,2/27/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,4/11/23,ESL1240,380,22,0.065,4/13/23,FALSE,tan pellets; free flowing,Foil pouch,0.14,2.47E+11,0.285,38.47,-0.41
84,23PT0227-6,FDL-111H-T27,Kosakonia sacchari,2/24/23,P010-23-Y012,14L,Peptone only,48,1.96E+11,3,2/27/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,4/11/23,ESL1240,380,22,0.065,4/13/23,FALSE,tan pellets; free flowing,Foil pouch,0.13,2.02E+11,0.285,29.37,-0.53
85,23PT0227-8,FDL-111H-T28,Kosakonia sacchari,2/24/23,P010-23-Y012-Con,14L,"Peptone only, upconcentrated",48,2.61E+11,3,2/27/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,4/11/23,ESL1240,380,22,0.065,4/13/23,FALSE,light-tan pellets; free flowing,Foil pouch,0.08,1.54E+11,0.285,16.82,-0.77
86,23PT0406-KLUB,FDL-112A-T01,Klebsiella variicola,4/5/23,P010-23-Y030,14L,Tryptone+Peptone,48,3.29E+11,1,4/6/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,4/11/23,PVT090-A0,110-550,55,0.05,4/19/23,FALSE,"grayish-brown/white speckled pellets, chunks, fines/dust",Foil pouch,0.27,5.51E+11,0.285,47.73,-0.32
87,23PT0406-KLUB,FDL-112B-T23,Klebsiella variicola,4/5/23,P010-23-Y030,14L,Tryptone+Peptone,48,3.29E+11,1,4/6/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,4/14/23,PVT090-A0,110-550,55,0.05,4/19/23,FALSE,"brown/whiteish-tan speckled, free-flowing, some sticky, little dust",Foil pouch,0.25,4.45E+11,0.285,38.55,-0.41
88,23PT0406-KLUB,FDL-112B-T456P,Klebsiella variicola,4/5/23,P010-23-Y030,14L,Tryptone+Peptone,48,3.29E+11,1,4/6/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,4/14/23,PVT090-A0,110-550,55,0.05,4/19/23,FALSE,"brown/whiteish-tan speckled, chunks, sticky pellets, some dust",Foil pouch,0.31,5.47E+11,0.285,47.38,-0.32
89,23PT0406-KLUB,FDL-112B-T456F,Klebsiella variicola,4/5/23,P010-23-Y030,14L,Tryptone+Peptone,48,3.29E+11,1,4/6/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,4/14/23,PVT090-A0,110-550,55,0.05,4/19/23,FALSE,"brown/whiteish-tan speckled, fines",Foil pouch,0.31,3.50E+11,0.285,30.32,-0.52
90,23PT0406-KLUB,FDL-112B-T456B,Klebsiella variicola,4/5/23,P010-23-Y030,14L,Tryptone+Peptone,48,3.29E+11,1,4/6/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,4/14/23,PVT090-A0,110-550,55,0.05,4/19/23,FALSE,"brown/whiteish-tan speckled, chunks",Foil pouch,0.31,3.80E+11,0.285,32.92,-0.48
91,23PT0406-KLUB,FD-23-0010-T1,Klebsiella variicola,4/5/23,P010-23-Y030,14L,Tryptone+Peptone,48,3.29E+11,1,4/6/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,4/14/23,PVT090-A0,110-550,56,0.05,,TRUE,"brown/whiteish-tan speckled, free-flowing pellets; minor sticky",Mylar bag,0.031,4.67E+11,0.285,40.45,-0.39
92,23PT0406-KLUB,FD-23-0010-T2,Klebsiella variicola,4/5/23,P010-23-Y030,14L,Tryptone+Peptone,48,3.29E+11,1,4/6/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,4/14/23,PVT090-A0,110-550,56,0.05,,TRUE,"brown/whiteish-tan speckled, free-flowing pellets; minor sticky",Mylar bag,0.041,5.66E+11,0.285,49.03,-0.31
93,23PT0406-KLUB,FD-23-0010-T3,Klebsiella variicola,4/5/23,P010-23-Y030,14L,Tryptone+Peptone,48,3.29E+11,1,4/6/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,4/14/23,PVT090-A0,110-550,56,0.05,,TRUE,"brown/whiteish-tan speckled, free-flowing pellets; minor sticky",Mylar bag,0.037,4.71E+11,0.285,40.8,-0.39
94,23PT0406-KLUB,FD-23-0010-T4,Klebsiella variicola,4/5/23,P010-23-Y030,14L,Tryptone+Peptone,48,3.29E+11,1,4/6/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,4/14/23,PVT090-A0,110-550,56,0.05,,TRUE,"Brown caking; sticky core, some dust",Mylar bag,0.364,5.36E+11,0.285,46.43,-0.33
95,23PT0406-KLUB,FD-23-0010-T5,Klebsiella variicola,4/5/23,P010-23-Y030,14L,Tryptone+Peptone,48,3.29E+11,1,4/6/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,4/14/23,PVT090-A0,110-550,56,0.05,,TRUE,"Brown caking; sticky core, some dust",Mylar bag,0.345,3.38E+11,0.285,29.28,-0.53
96,23PT0406-KLUB,FD-23-0010-T6,Klebsiella variicola,4/5/23,P010-23-Y030,14L,Tryptone+Peptone,48,3.29E+11,1,4/6/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,4/14/23,PVT090-A0,110-550,56,0.05,,TRUE,"Brown caking; sticky core, some dust",Mylar bag,0.343,5.59E+11,0.285,48.42,-0.31
97,23PT0405-KOKO,FD-23-0011,Kosakonia sacchari,4/5/23,P010-23-Y028,14L,Tryptone only,48,1.72E+11,0,4/5/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,4/17/23,ESL2130,470,58.6,0.035,,TRUE,free-flowing pellets; brown collapse,Mylar bag,0.17,3.15E+11,0.285,52.19,-0.28
