ID,FD sample ID,FD Run ID,Strain,EFT date,Broth ID,Fermentation Scale,Ferm condition,EFT (hr),Broth titer (CFU/mL),Broth age (day),Pelletization date,Cryo mix,Ingredient 1,Ingredient 2,Ingredient 3,Cryo mix addition rate,FD start date,FD cycle recipe,FD pressure (mTorr),FD run time (hr),Primary ramp rate (C/min),PA receive date,Dry in-house,Dried appearance,Container,Water activity,Viability (CFU/g),Cryo mix Coef,Yield (%),Log Loss
24,23PT0119-5,105EF-T24,Kosakonia sacchari,1/19/23,P010-23-Y002,14L,tryptone only,48,1.52E+11,0,1/19/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,1/20/23,PVT090-A0,110-580,53,,1/26/23,FALSE,"orangey-tan/white speckled; free-flowing pellets, some chunks; little/no dust",Foil pouch,0.23,2.70E+11,0.285,50.62,-0.3
25,23PT0119-6,105EF-T25,Kosakonia sacchari,1/19/23,P010-23-Y002,14L,tryptone only,48,1.52E+11,0,1/19/23,DSR,40% Sucrose,10% Maltodextrin,0.5% MgSO4,0.5,1/20/23,PVT090-A0,110-580,53,,1/26/23,FALSE,"orangey-tan/white speckled; free-flowing pellets, some chunks; little/no dust",Foil pouch,0.14,1.68E+11,0.342,37.8,-0.42
26,23PT0119-8,105EF-T26,Klebsiella variicola,1/19/23,P010-23-Y003,14L,"repeat of P080-22-Y007, tryptone + potato peptone",48,3.34E+11,0,1/19/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,1/20/23,PVT090-A0,110-580,53,,1/26/23,FALSE,brown/white specked; free-flowing pellets; warm/meltback spot near thermocouple,Foil pouch,0.29,4.07E+11,0.285,34.73,-0.46
27,23PT0119-9,105EF-T27,Klebsiella variicola,1/19/23,P010-23-Y003,14L,"repeat of P080-22-Y007, tryptone + potato peptone",48,3.34E+11,0,1/19/23,DSR,40% Sucrose,10% Maltodextrin,0.5% MgSO4,0.5,1/20/23,PVT090-A0,110-580,53,,1/26/23,FALSE,"brown/white speckled; free-flowing pellets, some chunks; no dust",Foil pouch,0.23,3.95E+11,0.342,40.45,-0.39
28,23PT0119-12,105EF-T29,Klebsiella variicola,1/19/23,P010-23-Y004,14L,tryptone only,48,3.46E+11,0,1/19/23,DSR,40% Sucrose,10% Maltodextrin,0.5% MgSO4,0.5,1/20/23,PVT090-A0,110-580,53,,1/26/23,FALSE,brown/white speckled; softened cake of pellets and large chunks,Foil pouch,0.36,2.32E+11,0.342,22.93,-0.64
29,23PT0119-7,105G-T30,Klebsiella variicola,1/19/23,P010-23-Y003,14L,"repeat of P080-22-Y007, tryptone + potato peptone",48,3.34E+11,0,1/19/23,SKP,40% Sucrose,8% KH2PO4,10.2% K2HPO4,0.5,1/20/23,OFD9-380,380,53,,1/26/23,FALSE,brown; friable cake; some dust,Foil pouch,0.2,3.38E+11,0.38,38.46,-0.41
30,23PT0119-10,105G-T31,Klebsiella variicola,1/19/23,P010-23-Y004,14L,tryptone only,48,3.46E+11,0,1/19/23,SKP,40% Sucrose,8% KH2PO4,10.2% K2HPO4,0.5,1/20/23,OFD9-380,380,53,,1/26/23,FALSE,"brown; friable cake, clumps, pellets",Foil pouch,0.2,2.17E+11,0.38,23.83,-0.62
31,23PT0119-1,105G-T32,Kosakonia sacchari,1/19/23,P010-23-Y001,14L,"repeat of P080-22-Y005, tryptone + potato peptone",48,1.42E+11,0,1/19/23,SKP,40% Sucrose,8% KH2PO4,10.2% K2HPO4,0.5,1/20/23,OFD9-380,380,53,,1/26/23,FALSE,tan; free-flowing pellets; little dust,Foil pouch,0.16,1.33E+11,0.38,35.59,-0.45
32,23PT0119-4,105G-T33,Kosakonia sacchari,1/19/23,P010-23-Y002,14L,tryptone only,48,1.52E+11,0,1/19/23,SKP,40% Sucrose,8% KH2PO4,10.2% K2HPO4,0.5,1/20/23,OFD9-380,380,53,,1/26/23,FALSE,tan; free-flowing pellets; little/no dust,Foil pouch,0.09,1.58E+11,0.38,39.5,-0.4
33,23PT0119-11,105EF-T28,Klebsiella variicola,1/19/23,P010-23-Y004,14L,tryptone only,48,3.46E+11,0,1/19/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,1/20/23,PVT090-A0,110-580,53,,1/26/23,FALSE,brown/white speckled pellets; partial meltback,Foil pouch,,,0.285,,
