FD sample ID,FD Run ID,Strain,EFT date,Broth ID,Fermentation Scale,Ferm condition,EFT (hr),Broth titer (CFU/mL),Broth age (day),Pelletization date,Cryo mix,Ingredient 1,Ingredient 2,Ingredient 3,Cryo mix addition rate,FD start date,FD cycle recipe,FD pressure (mTorr),FD run time (hr),Primary ramp rate (C/min),PA receive date,Dried appearance,Container,Water activity,Viability (CFU/g),Cryo mix Coef,Yield (%),Log Loss
23PT0227-6,FDL-111H-T27,Kosakonia sacchari,2023-02-24,P010-23-Y012,14L,Peptone only,48.0,196000000000.0,3.0,2023-02-27,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-04-11,ESL1240,380,22.0,0.065,2023-04-13 00:00:00,tan pellets; free flowing,Foil pouch,0.13,202000000000.0,0.285,29.37,-0.53
23PT0227-8,FDL-111H-T28,Kosakonia sacchari,2023-02-24,P010-23-Y012-Con,14L,"Peptone only, upconcentrated",48.0,261000000000.0,3.0,2023-02-27,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-04-11,ESL1240,380,22.0,0.065,2023-04-13 00:00:00,light-tan pellets; free flowing,Foil pouch,0.08,154000000000.0,0.285,16.82,-0.77
23PT0406-KLUB,FDL-112A-T01,Klebsiella variicola,2023-04-05,P010-23-Y030,14L,Tryptone+Peptone,48.0,329000000000.0,1.0,2023-04-06,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-04-11,PVT090-A0,110-550,55.0,0.05,2023-04-19 00:00:00,"grayish-brown/white speckled pellets, chunks, fines/dust",Foil pouch,0.27,551000000000.0,0.285,47.73,-0.32
23PT0406-KLUB,FDL-112B-T23,Klebsiella variicola,2023-04-05,P010-23-Y030,14L,Tryptone+Peptone,48.0,329000000000.0,1.0,2023-04-06,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-04-14,PVT090-A0,110-550,55.0,0.05,2023-04-19 00:00:00,"brown/whiteish-tan speckled, free-flowing, some sticky, little dust",Foil pouch,0.25,445000000000.0,0.285,38.55,-0.41
23PT0406-KLUB,FDL-112B-T456P,Klebsiella variicola,2023-04-05,P010-23-Y030,14L,Tryptone+Peptone,48.0,329000000000.0,1.0,2023-04-06,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-04-14,PVT090-A0,110-550,55.0,0.05,2023-04-19 00:00:00,"brown/whiteish-tan speckled, chunks, sticky pellets, some dust",Foil pouch,0.31,547000000000.0,0.285,47.38,-0.32
23PT0406-KLUB,FDL-112B-T456F,Klebsiella variicola,2023-04-05,P010-23-Y030,14L,Tryptone+Peptone,48.0,329000000000.0,1.0,2023-04-06,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-04-14,PVT090-A0,110-550,55.0,0.05,2023-04-19 00:00:00,"brown/whiteish-tan speckled, fines",Foil pouch,0.31,350000000000.0,0.285,30.32,-0.52
23PT0406-KLUB,FDL-112B-T456B,Klebsiella variicola,2023-04-05,P010-23-Y030,14L,Tryptone+Peptone,48.0,329000000000.0,1.0,2023-04-06,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-04-14,PVT090-A0,110-550,55.0,0.05,2023-04-19 00:00:00,"brown/whiteish-tan speckled, chunks",Foil pouch,0.31,380000000000.0,0.285,32.92,-0.48
23PT0406-KLUB,FD-23-0010-T1,Klebsiella variicola,2023-04-05,P010-23-Y030,14L,Tryptone+Peptone,48.0,329000000000.0,1.0,2023-04-06,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-04-14,PVT090-A0,110-550,56.0,0.05,Dry in PA,"brown/whiteish-tan speckled, free-flowing pellets; minor sticky",Mylar bag,0.031,467000000000.0,0.285,40.45,-0.39
23PT0406-KLUB,FD-23-0010-T2,Klebsiella variicola,2023-04-05,P010-23-Y030,14L,Tryptone+Peptone,48.0,329000000000.0,1.0,2023-04-06,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-04-14,PVT090-A0,110-550,56.0,0.05,Dry in PA,"brown/whiteish-tan speckled, free-flowing pellets; minor sticky",Mylar bag,0.041,566000000000.0,0.285,49.03,-0.31
23PT0406-KLUB,FD-23-0010-T3,Klebsiella variicola,2023-04-05,P010-23-Y030,14L,Tryptone+Peptone,48.0,329000000000.0,1.0,2023-04-06,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-04-14,PVT090-A0,110-550,56.0,0.05,Dry in PA,"brown/whiteish-tan speckled, free-flowing pellets; minor sticky",Mylar bag,0.037,471000000000.0,0.285,40.8,-0.39
23PT0406-KLUB,FD-23-0010-T4,Klebsiella variicola,2023-04-05,P010-23-Y030,14L,Tryptone+Peptone,48.0,329000000000.0,1.0,2023-04-06,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-04-14,PVT090-A0,110-550,56.0,0.05,Dry in PA,"Brown caking; sticky core, some dust",Mylar bag,0.364,536000000000.0,0.285,46.43,-0.33
23PT0406-KLUB,FD-23-0010-T5,Klebsiella variicola,2023-04-05,P010-23-Y030,14L,Tryptone+Peptone,48.0,329000000000.0,1.0,2023-04-06,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-04-14,PVT090-A0,110-550,56.0,0.05,Dry in PA,"Brown caking; sticky core, some dust",Mylar bag,0.345,338000000000.0,0.285,29.28,-0.53
23PT0406-KLUB,FD-23-0010-T6,Klebsiella variicola,2023-04-05,P010-23-Y030,14L,Tryptone+Peptone,48.0,329000000000.0,1.0,2023-04-06,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-04-14,PVT090-A0,110-550,56.0,0.05,Dry in PA,"Brown caking; sticky core, some dust",Mylar bag,0.343,559000000000.0,0.285,48.42,-0.31
23PT0405-KOKO,FD-23-0011,Kosakonia sacchari,2023-04-05,P010-23-Y028,14L,Tryptone only,48.0,172000000000.0,0.0,2023-04-05,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-04-17,ESL2130,470,58.6,0.035,Dry in PA,free-flowing pellets; brown collapse,Mylar bag,0.17,315000000000.0,0.285,52.19,-0.28
