FD sample ID,FD Run ID,Strain,EFT date,Broth ID,Fermentation Scale,Ferm condition,EFT (hr),Broth titer (CFU/mL),Broth age (day),Pelletization date,Cryo mix,Ingredient 1,Ingredient 2,Ingredient 3,Cryo mix addition rate,FD start date,FD cycle recipe,FD pressure (mTorr),FD run time (hr),Primary ramp rate (C/min),PA receive date,Dried appearance,Container,Water activity,Viability (CFU/g),Cryo mix Coef,Yield (%),Log Loss
23PT0119-1,105G-T32,Kosakonia sacchari,2023-01-19,P010-23-Y001,14L,"repeat of P080-22-Y005, tryptone + potato peptone",48.0,142000000000.0,0.0,2023-01-19,SKP,40% Sucrose,8% KH2PO4,10.2% K2HPO4,0.5,2023-01-20,OFD9-380,380,53.0,,2023-01-26 00:00:00,tan; free-flowing pellets; little dust,Foil pouch,0.16,133000000000.0,0.38,35.59,-0.45
23PT0119-4,105G-T33,Kosakonia sacchari,2023-01-19,P010-23-Y002,14L,tryptone only,48.0,152000000000.0,0.0,2023-01-19,SKP,40% Sucrose,8% KH2PO4,10.2% K2HPO4,0.5,2023-01-20,OFD9-380,380,53.0,,2023-01-26 00:00:00,tan; free-flowing pellets; little/no dust,Foil pouch,0.09,158000000000.0,0.38,39.5,-0.4
23PT0119-11,105EF-T28,Klebsiella variicola,2023-01-19,P010-23-Y004,14L,tryptone only,48.0,346000000000.0,0.0,2023-01-19,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-01-20,PVT090-A0,110-580,53.0,,2023-01-26 00:00:00,brown/white speckled pellets; partial meltback,Foil pouch,n/m,,0.285,,
IFF10202022-3,FDL-107B-T04,Kosakonia sacchari,,CR broth,150K,"Glucose, no EPS, CR",,,,2022-10-20,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-01-24,PVT090-A1,380-580,53.0,,2023-02-09 00:00:00,friable cake,Foil pouch,0.29,111000000000.0,0.285,,
IFF12122022-1,FDL-107B-T05,Klebsiella variicola,,CR broth,150K,"Glucose, high EPS, CR",,,,2022-12-12,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-01-24,PVT090-A1,380-580,53.0,,2023-02-09 00:00:00,free-flowing pellets,Foil pouch,0.21,272000000000.0,0.285,,
IFF12282022-1,FDL-107B-T06,Kosakonia sacchari,,CR broth,150K,"Glucose, no EPS, CR",,,,2022-12-28,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-01-24,PVT090-A1,380-580,53.0,,2023-02-09 00:00:00,sticky to tray bottom,Foil pouch,0.39,107000000000.0,0.285,,
IFF10202022-4,FDL-107C-T08,Kosakonia sacchari,,CR broth,150K,"Glucose, no EPS, CR",,,,2022-10-20,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-01-27,PVT090-A0,110-580,53.0,,2023-02-09 00:00:00,free-flowing with manual assist,Foil pouch,0.32,134000000000.0,0.285,,
IFF12122022-2,FDL-107C-T09,Klebsiella variicola,,CR broth,150K,"Glucose, high EPS, CR",,,,2022-12-12,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-01-27,PVT090-A0,110-580,53.0,,2023-02-09 00:00:00,mostly free-flowing; some softened chunks,Foil pouch,0.42,253000000000.0,0.285,,
IFF10202022-5,FDL-107D-T12,Kosakonia sacchari,,CR broth,150K,"Glucose, no EPS, CR",,,,2022-10-20,,45.5% Sucrose,22.75% Inulin,,0.28,2023-01-27,PVT090-A2,280-580,53.0,,2023-02-09 00:00:00,free-flowing pellets,Foil pouch,0.3,141000000000.0,,,
IFF12122022-3,FDL-107D-T13,Klebsiella variicola,,CR broth,150K,"Glucose, high EPS, CR",,,,2022-12-12,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-01-27,PVT090-A2,280-580,53.0,,2023-02-09 00:00:00,free-flowing pellets,Foil pouch,0.23,266000000000.0,0.285,,
IFF12282022-2,FDL-107D-T14,Kosakonia sacchari,,CR broth,150K,"Glucose, no EPS, CR",,,,2022-12-28,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-01-27,PVT090-A2,280-580,53.0,,2023-02-09 00:00:00,"collapsed pellets, chunks, softened cake",Foil pouch,0.39,119000000000.0,0.285,,
23PT0126-1,FDL-105H-T35,Kosakonia sacchari,2023-01-25,P010-23-Y005,14L,"Tryptone + potato peptone, lower top feed rate, no EPS",48.0,182000000000.0,1.0,2023-01-26,SKP,40% Sucrose,8% KH2PO4,10.2% K2HPO4,0.5,2023-02-03,OFD9-380,380,53.0,,2023-02-09 00:00:00,tan; free-flowing pellets; little/no dust,Foil pouch,0.07,84900000000.0,0.38,17.73,-0.75
23PT0126-4,FDL-105H-T37,Kosakonia sacchari,2023-01-25,P010-23-Y005,14L,"tryptone + potato peptone, low top feed rate, no EPS, w 0.7% XG",48.0,182000000000.0,1.0,2023-01-26,SKP,40% Sucrose,8% KH2PO4,10.2% K2HPO4,0.5,2023-02-03,OFD9-380,380,53.0,,2023-02-09 00:00:00,"light tan; free-flowing pellets, little/no dust",Foil pouch,0.19,75400000000.0,0.38,15.74,-0.8
23PT0126-2,FDL-105K-T42,Kosakonia sacchari,2023-01-25,P010-23-Y005,14L,"Tryptone + potato peptone, lower top feed rate, no EPS",48.0,182000000000.0,1.0,2023-01-26,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-02-15,PVT380,380,26.0,,2023-02-22 00:00:00,light tan/white speckled pellets; free-flowing,Foil pouch,0.19,225000000000.0,0.285,35.23,-0.45
23PT0126-3,FDL-105K-T43,Kosakonia sacchari,2023-01-25,P010-23-Y005,14L,"Tryptone + potato peptone, lower top feed rate, no EPS",48.0,182000000000.0,1.0,2023-01-26,DSR,40% Sucrose,10% Maltodextrin,0.5% MgSO4,0.5,2023-02-15,PVT380,380,26.0,,2023-02-22 00:00:00,light tan/white speckled pellets; free-flowing,Foil pouch,0.18,177000000000.0,0.342,33.26,-0.48
23PT0126-5,FDL-105K-T44,Kosakonia sacchari,2023-01-25,P010-23-Y005,14L,"tryptone + potato peptone, low top feed rate, no EPS, w 0.7% XG",48.0,182000000000.0,1.0,2023-01-26,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-02-15,PVT380,380,26.0,,2023-02-22 00:00:00,tan/softened chunks of pellets,Foil pouch,0.43,130000000000.0,0.285,20.36,-0.69
23PT0126-6,FDL-105K-T45,Kosakonia sacchari,2023-01-25,P010-23-Y005,14L,"tryptone + potato peptone, low top feed rate, no EPS, w 0.7% XG",48.0,182000000000.0,1.0,2023-01-26,DSR,40% Sucrose,10% Maltodextrin,0.5% MgSO4,0.5,2023-02-15,PVT380,380,26.0,,2023-02-22 00:00:00,tan/white speckled pellets; free flowing,Foil pouch,0.38,122000000000.0,0.342,22.93,-0.64
IFF12282022-3,FDL-107A-T01,Kosakonia sacchari,,Dec-CR,150K,"Glucose, no EPS, CR",,,,2022-12-28,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-01-13,OFD9-380,380,53.0,,2023-02-17 00:00:00,"brown, collapsed pellet; free-flowing, dusty",Foil pouch,0.09,75400000000.0,0.285,,
IFF12122022-4,FDL-107EF-T15,Klebsiella variicola,,Dec-CR,150K,"Glucose, high EPS, CR",,,,2022-12-12,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-01-31,IFF-04,380,59.0,,2023-02-17 00:00:00,"light tan/white speckled, free-flowing",Foil pouch,0.08,122000000000.0,0.285,,
IFF12282022-4,FDL-107EF-T16,Kosakonia sacchari,,Dec-CR,150K,"Glucose, no EPS, CR",,,,2022-12-28,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-01-31,IFF-04,380,59.0,,2023-02-17 00:00:00,"light tan/white speckled, free-flowing",Foil pouch,0.13,131000000000.0,0.285,,
IFF12282022-5,FDL-107H-T19,Kosakonia sacchari,,Dec-CR,150K,"Glucose, no EPS, CR",,,,2022-12-28,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-02-07,OFD9-380,380,50.0,,2023-02-17 00:00:00,"dark tan/white speckled, free-flowing",Foil pouch,0.07,132000000000.0,0.285,,
IFF12122022-5,FDL-107IJ-T22,Klebsiella variicola,,Dec-CR,150K,"Glucose, high EPS, CR",,,,2022-12-12,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-02-07,PVT090-A1,380-580,53.0,,2023-02-17 00:00:00,"light-brown/tan/white speckled, free-flowing",Foil pouch,0.1,177000000000.0,0.285,,
IFF12282022-6,FDL-107LM-T25,Kosakonia sacchari,,Dec-CR,150K,"Glucose, no EPS, CR",,,,2022-12-28,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-02-10,OFD9M2,380,51.0,,2023-02-17 00:00:00,"brown/white speckled, free flowing, some chunks",Foil pouch,0.28,153000000000.0,0.285,,
IFF12122022-6,FDL-107LM-T26,Klebsiella variicola,,Dec-CR,150K,"Glucose, high EPS, CR",,,,2022-12-12,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-02-10,OFD9M2,380,54.0,,2023-02-17 00:00:00,"tan/white speckled, free-flowing",Foil pouch,0.18,157000000000.0,0.285,,
IFF12282022-7,FDL-107K-T30,Kosakonia sacchari,,Dec-CR,150K,"Glucose, no EPS, CR",,,,2022-12-28,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-02-10,IFF-04,380,51.0,,2023-02-17 00:00:00,"light-brown/white speckled, free-flowing, one chunk/wet spot",Foil pouch,0.38,89900000000.0,0.285,,
22PT1013-1,FDL-105LM-T46 ,Klebsiella variicola,2022-10-13,P080-22-Y025,14L,Glucose,48.0,372000000000.0,0.0,2022-10-13,SKP,40% Sucrose,8% KH2PO4,10.2% K2HPO4,0.5,2023-02-24,OFD9-110,380,53.0,,2023-03-03 00:00:00,"free-flowing, light tan/white pellets with some clumps, no dust",Foil pouch,<0.02,513000000000.0,0.38,52.4,-0.28
22PT1102-1,FDL-105LM-T47,Kosakonia sacchari,2022-11-02,P080-22-Y033,14L,Glucose,48.0,150000000000.0,0.0,2022-11-02,SKP,40% Sucrose,8% KH2PO4,10.2% K2HPO4,,2023-02-24,OFD9-110,110,53.0,,2023-03-03 00:00:00,"fre-flowing pellets, light tan/which, with some clumps, no dust",Foil pouch,<0.02,11800000000.0,0.38,2.99,-1.52
22PT1102-4,FDL-105N-T49,Kosakonia sacchari,2022-11-02,P080-22-Y034,14L,Greens ,48.0,136000000000.0,0.0,2022-11-02,SKP,40% Sucrose,8% KH2PO4,10.2% K2HPO4,,2023-03-01,OFD9M3,580,48.0,,2023-03-08 00:00:00,"tannish-yellow, released as cake with some unassisted breakup into pellets",Foil pouch,0.26,132000000000.0,0.38,36.88,-0.43
IFF12122022-7,FDL-107N-T31,Klebsiella variicola,,Dec-CR,,Glucose,,,,,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-02-17,OFD9M2,380,53.0,,2023-03-08 00:00:00,"light grown/white speckled, free-flowing",Foil pouch,0.04,147000000000.0,0.285,,
IFF12282022-8,FDL-107N-T33,Kosakonia sacchari,,Dec-CR,,Glucose,,,,,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-02-17,OFD9M2,380,53.0,,2023-03-08 00:00:00,"brown/white speckled, free-flowing",Foil pouch,0.08,125000000000.0,0.285,,
IFF12122022-8,FDL-107P-T35,Klebsiella variicola,,Dec-CR,,Glucose,,,,,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-03-01,OFD9M3,580,48.0,,2023-03-08 00:00:00,"light brown particles, free-flowing",Foil pouch,0.13,399000000000.0,0.285,,
IFF12122022-9,FDL-107Q-T37,Klebsiella variicola,,Dec-CR,,Glucose,,,,,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-03-03,IFF-05,580,46.0,,2023-03-08 00:00:00,"tan/white speckled particles, free-flowing",Foil pouch,0.32,374000000000.0,0.285,,
IFF12282022-9,FDL-111A-T01,Kosakonia sacchari,,Dec-CR,,Glucose,,,,2022-12-28,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-03-24,PVT380,380,22.0,0.05,2023-03-30 00:00:00,"tan/white speckled, free-flowing",Foil pouch,0.24,301000000000.0,0.285,,
23PT0227-4,FDL-111A-T02,Kosakonia sacchari,2023-02-24,P010-23-Y011,14L,Tryptone only,48.0,183000000000.0,3.0,2023-02-27,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-03-24,PVT380,380,22.0,0.05,2023-03-30 00:00:00,"tan pellets, free-flowing",Foil pouch,0.12,165000000000.0,0.285,25.7,-0.59
23PT0227-6,FDL-111A-T03,Kosakonia sacchari,2023-02-24,P010-23-Y012,14L,Peptone only,48.0,196000000000.0,3.0,2023-02-27,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-03-24,PVT380,380,22.0,0.05,2023-03-30 00:00:00,"tan pellets, free-flowing",Foil pouch,0.12,236000000000.0,0.285,34.32,-0.46
23PT0227-8,FDL-111A-T04,Kosakonia sacchari,2023-02-24,P010-23-Y012-Con,14L,"Peptone only, upconcentrated",48.0,261000000000.0,3.0,2023-02-27,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-03-24,PVT380,380,22.0,0.05,2023-03-30 00:00:00,"white pellets, free-flowing",Foil pouch,0.09,262000000000.0,0.285,28.61,-0.54
23PT0227-8,FDL-111B-T08,Kosakonia sacchari,2023-02-24,P010-23-Y012-Con,14L,"Peptone only, upconcentrated",48.0,261000000000.0,3.0,2023-02-27,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-03-27,ESL1010,990,25.0,0.05,2023-03-31 00:00:00,"brown/white speckled, free-flowing",Foil pouch,0.35,327000000000.0,0.285,35.71,-0.45
23PT0227-4,FDL-111C-T10,Kosakonia sacchari,2023-02-24,P010-23-Y011,14L,Tryptone only,48.0,183000000000.0,3.0,2023-02-27,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-03-30,ESL1020,680,25.0,0.05,2023-04-04 00:00:00,"orangey-tan, free-flowing, few sticky clumps",Foil pouch,0.4,144000000000.0,0.285,22.43,-0.65
